"cod1","cod2","cor","disc1","disc2"
"1411179","1411171",0.546962830170302,"Teoria da Computação","Laboratório de Estrutura de Dados"
"1411193","1411173",0.546087913040636,"Lógica Matemática","Banco de Dados 1"
"1411171","1109053",0.545407163954153,"Cálculo Diferencial e Integral 2","Teoria da Computação"
"1411179","1109113",0.545375709035579,"Matemática Discreta","Laboratório de Estrutura de Dados"
"1411173","1411172",0.543927104451123,"Estrutura de Dados","Lógica Matemática"
"1411172","1411167",0.543640899515786,"Programação 1","Estrutura de Dados"
"1411195","1411173",0.542854980452075,"Lógica Matemática","Sistemas de Informação 2"
"1411190","1411175",0.542466647070665,"Organização e Arquitetura de Computadores","Redes de Computadores"
"1411172","1109053",0.5414324285944,"Cálculo Diferencial e Integral 2","Estrutura de Dados"
"1411195","1411171",0.541414644476944,"Teoria da Computação","Sistemas de Informação 2"
"1411180","1411168",0.540484032894402,"Programação 2","Laboratório de Programação 1"
"1411168","1411167",0.538828093898604,"Programação 1","Programação 2"
"1411167","1109113",0.538631382789553,"Matemática Discreta","Programação 1"
"1411179","1109053",0.53743562218608,"Cálculo Diferencial e Integral 2","Laboratório de Estrutura de Dados"
"1411178","1114107",0.536859178913139,"Probabilidade e Estatística","Sistemas de Informação 1"
"1411179","1411173",0.534890265864664,"Lógica Matemática","Laboratório de Estrutura de Dados"
"1411180","1109113",0.534812544352685,"Matemática Discreta","Laboratório de Programação 1"
"1411192","1411190",0.534465051533934,"Redes de Computadores","Sistemas Operacionais"
"1411194","1411192",0.534456540229953,"Sistemas Operacionais","Banco de Dados 2"
"1411174","1307151",0.533774910536272,"Leitura e Produção de Textos","Introdução a Computação"
"1411187","1411179",0.533413388208875,"Laboratório de Estrutura de Dados","Análise e Técnica de Algorítimos"
"1411192","1411173",0.530685022560156,"Lógica Matemática","Sistemas Operacionais"
"1411171","1109049",0.530338156961704,"Álgebra Linear","Teoria da Computação"
"1411182","1411175",0.5294436129922,"Organização e Arquitetura de Computadores","Laboratório de Organização e Arquitetura de Computadores"
"1411179","1109103",0.527781788531901,"Cálculo Diferencial e Integral 1","Laboratório de Estrutura de Dados"
"1109053","1109035",0.525672075158555,"Álgebra Vetorial e Geometria Analítica","Cálculo Diferencial e Integral 2"
"1411189","1114114",0.525040090492681,"Métodos Estatísticos","Compiladores"
"1411180","1411179",0.523128215205066,"Laboratório de Estrutura de Dados","Laboratório de Programação 1"
"1411187","1411168",0.522130228417289,"Programação 2","Análise e Técnica de Algorítimos"
"1411178","1109049",0.520478706337246,"Álgebra Linear","Sistemas de Informação 1"
"1411192","1114114",0.519707458709454,"Métodos Estatísticos","Sistemas Operacionais"
"1411170","1109113",0.51948195747912,"Matemática Discreta","Teoria dos Grafos"
"1411193","1411190",0.519132240214998,"Redes de Computadores","Banco de Dados 1"
"1411193","1114114",0.517599877455501,"Métodos Estatísticos","Banco de Dados 1"
"1411175","1114114",0.517350707949385,"Métodos Estatísticos","Organização e Arquitetura de Computadores"
"1114107","1109053",0.5157554687695,"Cálculo Diferencial e Integral 2","Probabilidade e Estatística"
"1109103","1108089",0.515230161474149,"Física Clássica","Cálculo Diferencial e Integral 1"
"1114107","1109113",0.515005562553947,"Matemática Discreta","Probabilidade e Estatística"
"1411194","1114107",0.513355703366898,"Probabilidade e Estatística","Banco de Dados 2"
"1411178","1411172",0.512146098974896,"Estrutura de Dados","Sistemas de Informação 1"
"1411178","1411173",0.511771854309494,"Lógica Matemática","Sistemas de Informação 1"
"1411174","1411172",0.510492972736361,"Estrutura de Dados","Introdução a Computação"
"1411172","1411168",0.509769561264331,"Programação 2","Estrutura de Dados"
"1411181","1109035",0.507198517775093,"Álgebra Vetorial e Geometria Analítica","Laboratório de Programação 2"
"1411174","1109049",0.507052272709026,"Álgebra Linear","Introdução a Computação"
"1411194","1411193",0.505880426572479,"Banco de Dados 1","Banco de Dados 2"
"1411172","1109103",0.504421933004525,"Cálculo Diferencial e Integral 1","Estrutura de Dados"
"1411179","1411174",0.504299906423624,"Introdução a Computação","Laboratório de Estrutura de Dados"
"1411181","1411174",0.503610375720423,"Introdução a Computação","Laboratório de Programação 2"
"1411193","1411178",0.503567756059964,"Sistemas de Informação 1","Banco de Dados 1"
"1411195","1411194",0.502692928772635,"Banco de Dados 2","Sistemas de Informação 2"
"1411174","1109053",0.502018634873866,"Cálculo Diferencial e Integral 2","Introdução a Computação"
"1411187","1411175",0.501734863352327,"Organização e Arquitetura de Computadores","Análise e Técnica de Algorítimos"
"1307151","1109035",0.501007125493648,"Álgebra Vetorial e Geometria Analítica","Leitura e Produção de Textos"
"1411192","1411187",0.500548748936097,"Análise e Técnica de Algorítimos","Sistemas Operacionais"
"1411194","1411189",0.500412963237142,"Compiladores","Banco de Dados 2"
