"nota1","nota2","nota3","final","media","periodo","coddisciplina","disciplina","matricula","situacao","vez"
3.3,4.6,7.7,6.2,5.5,20122,1411179,"Lab. de Estruturas de Dados e Algoritmos","110110090","A",3
3.25,5.5,6.1,4.2,4.5,20121,1411172,"Estruturas de Dados e Algoritmos","110110090","R",2
6.75,8.5,6.35,9.5,7.8,20122,1411172,"Estruturas de Dados e Algoritmos","110110090","A",3
2.5,1,4.5,-1,2.7,20112,1108089,"Fundamentos de Física Clássica","110110090","R",1
1.1,0,0.45,-1,1,20112,1411179,"Lab. de Estruturas de Dados e Algoritmos","110110090","R",1
2.25,2.25,0,-1,1.6,20112,1411172,"Estruturas de Dados e Algoritmos","110110090","R",1
5,0,4.5,-1,3.2,20111,1109049,"Álgebra Linear","110110091","R",1
7,6.5,4.5,5,5.6,20112,1109049,"Álgebra Linear","110110091","A",2
1.5,5,1,-1,2.5,20111,1109053,"Cálculo Diferencial e Integral II","110110095","R",1
7,10,4,-1,7,20112,1109053,"Cálculo Diferencial e Integral II","110110095","A",2
3.6,3.1,3.5,-1,3.5,20121,1411173,"Lógica Matemática","110110096","R",1
10,4.5,1.4,0,3.2,20121,1411182,"Lab. de Organização e Arquitetura de Computadores","110110096","R",2
8.4,1.9,9,-1,7.9,20122,1411173,"Lógica Matemática","110110096","A",2
7.7,0,0.7,-1,2.8,20112,1411182,"Lab. de Organização e Arquitetura de Computadores","110110096","R",1
2,0,1,-1,1,20111,1109053,"Cálculo Diferencial e Integral II","110110104","R",1
4.5,5,2.5,3.5,3.8,20112,1109053,"Cálculo Diferencial e Integral II","110110104","R",2
3,2.6,1.2,-1,2.3,20111,1109103,"Cálculo Diferencial e Integral I","110110107","R",1
2.5,0.2,2.5,-1,1.7,20112,1109103,"Cálculo Diferencial e Integral I","110110107","R",2
1,3,3,-1,2.3,20111,1109053,"Cálculo Diferencial e Integral II","110110112","R",1
4.5,5.5,2,6.5,5,20112,1109053,"Cálculo Diferencial e Integral II","110110112","A",2
6,0,6,4,4,20111,1114107,"Probabilidade e Estatística","110110114","R",1
0,3,0,-1,1,20121,1114114,"Métodos Estatísticos","110110114","R",1
7.8,6,7.2,-1,7,20112,1114107,"Probabilidade e Estatística","110110114","A",2
6.1,3.4,9.4,8.3,7.1,20122,1114114,"Métodos Estatísticos","110110114","A",2
7.4,1,3.6,5,4.4,20111,1114107,"Probabilidade e Estatística","110110117","R",1
8.7,6.5,5.9,-1,7,20112,1114107,"Probabilidade e Estatística","110110117","A",2
3.95,2.65,4.65,3.9,4.1,20121,1411194,"Banco de Dados II","110110118","R",1
4.2,4.2,4.2,2.5,3.5,20111,1411187,"Análise e Técnicas de Algoritmos","110110118","R",1
3.85,1.5,3.05,-1,3.7,20122,1411194,"Banco de Dados II","110110118","R",2
6.5,5.2,10,-1,7.2,20121,1411187,"Análise e Técnicas de Algoritmos","110110118","A",2
9,1.7,2.5,3.5,4,20111,1109103,"Cálculo Diferencial e Integral I","110110122","R",1
8.3,5.8,6.8,-1,7,20112,1109103,"Cálculo Diferencial e Integral I","110110122","A",2
2.3,0,5,-1,2.4,20111,1411190,"Redes de Computadores","110110123","R",1
4.85,1.1,0.2,-1,2.8,20111,1411195,"Sistemas de Informação II","110110123","R",1
2.4,2.4,2.4,-1,2.4,20111,1411187,"Análise e Técnicas de Algoritmos","110110123","R",1
10,8.8,5.8,-1,8.2,20121,1411190,"Redes de Computadores","110110123","A",2
4.1,4.35,5.65,6.8,5.7,20112,1411195,"Sistemas de Informação II","110110123","A",2
8.7,5.4,8.1,-1,7.4,20112,1411187,"Análise e Técnicas de Algoritmos","110110123","A",2
5.6,8.2,9.3,-1,7.7,20121,1114114,"Métodos Estatísticos","110110127","A",2
4.5,1.2,9.5,2,3.9,20112,1114114,"Métodos Estatísticos","110110127","R",1
3.5,2,0,-1,1.8,20111,1109053,"Cálculo Diferencial e Integral II","110110129","R",1
5,2,3,-1,3.3,20121,1114107,"Probabilidade e Estatística","110110129","R",1
4.5,6.5,1.5,7.5,5.5,20112,1109053,"Cálculo Diferencial e Integral II","110110129","A",2
4.15,5.9,3.75,2,3.2,20122,1114107,"Probabilidade e Estatística","110110129","R",2
2,4,0.5,-1,2.2,20111,1109053,"Cálculo Diferencial e Integral II","110110130","R",1
7,6.5,7.5,-1,7,20112,1109053,"Cálculo Diferencial e Integral II","110110130","A",2
5.5,2,2.5,-1,2.7,20121,1411177,"Engenharia de Software I","110110848","R",1
7.6,6,6,7,6.8,20122,1411177,"Engenharia de Software I","110110848","A",2
3.5,1.5,0,-1,1.7,20111,1109053,"Cálculo Diferencial e Integral II","110110851","R",1
5.7,3.5,8.3,5.5,5.7,20121,1411193,"Banco de Dados I","110110851","A",2
3.8,2.5,0.5,-1,2.3,20111,1109049,"Álgebra Linear","110110851","R",1
5.2,5.4,0,-1,3.5,20111,1411171,"Teoria da Computação","110110851","R",1
5,3,7.5,5,5.1,20112,1109053,"Cálculo Diferencial e Integral II","110110851","A",2
2.3,0,4.4,-1,2.2,20112,1411193,"Banco de Dados I","110110851","R",1
8,7,6,-1,7,20112,1109049,"Álgebra Linear","110110851","A",2
6.5,6.2,6.4,7.4,6.8,20112,1411171,"Teoria da Computação","110110851","A",2
2.5,3.3,0,-1,1.9,20111,1114107,"Probabilidade e Estatística","110110857","R",1
6.2,9,6,-1,7.1,20112,1114107,"Probabilidade e Estatística","110110857","A",2
1,7,2.5,-1,3.5,20111,1109053,"Cálculo Diferencial e Integral II","110110974","R",1
6.6,8.9,7.2,-1,7.2,20121,1411173,"Lógica Matemática","110110974","A",2
6.8,0,0,-1,2.3,20111,1109049,"Álgebra Linear","110110974","R",1
6.5,3.4,5,3.6,4.4,20111,1411179,"Lab. de Estruturas de Dados e Algoritmos","110110974","R",1
4,7,6,2.5,4.4,20121,1114107,"Probabilidade e Estatística","110110974","R",1
5.3,4.9,4.5,3.8,4.5,20111,1411176,"Gerência da Informação","110110974","R",1
1,2.6,5.5,-1,3,20111,1411172,"Estruturas de Dados e Algoritmos","110110974","R",1
4.5,8,3.5,8.5,6.6,20112,1109053,"Cálculo Diferencial e Integral II","110110974","A",2
0.9,0,0.7,-1,0.7,20112,1411173,"Lógica Matemática","110110974","R",1
3.8,6.5,3.5,6.8,5.5,20112,1109049,"Álgebra Linear","110110974","A",2
5.8,6.6,6.95,4,5.4,20112,1411179,"Lab. de Estruturas de Dados e Algoritmos","110110974","A",2
8,7.75,6.5,-1,7.3,20122,1114107,"Probabilidade e Estatística","110110974","A",2
7.6,6.7,6.7,-1,7,20112,1411176,"Gerência da Informação","110110974","A",2
5.5,6.75,6.85,5,5.7,20112,1411172,"Estruturas de Dados e Algoritmos","110110974","A",2
7,8,9,-1,8.4,20121,1411186,"Projeto em Computação II","110110978","A",2
2.4,2.4,2.4,-1,2.4,20111,1411187,"Análise e Técnicas de Algoritmos","110110978","R",1
4.5,3.5,0,-1,2.7,20112,1411186,"Projeto em Computação II","110110978","R",1
5.2,5.4,6.3,10,7.4,20112,1411187,"Análise e Técnicas de Algoritmos","110110978","A",2
4.6,4.6,4.6,4.6,4.6,20111,1411168,"Programação II","110110979","R",1
0,3.6,0,-1,1.2,20111,1109049,"Álgebra Linear","110110979","R",1
3.7,3.7,1.85,-1,3.7,20111,1411181,"Lab. de Programação II","110110979","R",1
0.6,0,0,-1,0.3,20121,1411179,"Lab. de Estruturas de Dados e Algoritmos","110110979","R",1
6.1,3.9,3.7,4.3,4.5,20111,1109113,"Matemática Discreta","110110979","R",1
0.5,0.5,0.15,-1,0.3,20121,1411172,"Estruturas de Dados e Algoritmos","110110979","R",1
7.7,7.7,7.7,-1,7.7,20112,1411168,"Programação II","110110979","A",2
6.3,3.3,5.5,5.3,5.1,20112,1109049,"Álgebra Linear","110110979","A",2
6.2,6.2,3.1,6.8,6.4,20112,1411181,"Lab. de Programação II","110110979","A",2
1.2,2.4,5.1,-1,2.8,20122,1411179,"Lab. de Estruturas de Dados e Algoritmos","110110979","R",2
5.3,5.4,6.8,5.7,5.8,20112,1109113,"Matemática Discreta","110110979","A",2
4.5,5.25,3.8,-1,2.5,20122,1411172,"Estruturas de Dados e Algoritmos","110110979","R",2
1,8.5,2.5,4.5,4.2,20111,1109053,"Cálculo Diferencial e Integral II","110150167","R",1
5.5,4.5,4.5,3.3,4.2,20121,1109053,"Cálculo Diferencial e Integral II","110150167","R",3
4.5,3,1,-1,2.8,20122,1109053,"Cálculo Diferencial e Integral II","110150167","R",4
4.9,4,0.5,-1,3.1,20111,1109049,"Álgebra Linear","110150167","R",1
3,4,0.5,-1,2.5,20112,1109053,"Cálculo Diferencial e Integral II","110150167","R",2
6.5,5.5,2,3.8,4.3,20122,1109049,"Álgebra Linear","110150167","R",2
6.3,1,3,-1,3.4,20121,1109049,"Álgebra Linear","110150169","R",2
9.2,4,6,3.9,5.4,20122,1109049,"Álgebra Linear","110150169","A",3
0.5,1,0,-1,0.5,20112,1109049,"Álgebra Linear","110150169","R",1
1.5,2,1.5,-1,1.7,20111,1109053,"Cálculo Diferencial e Integral II","110150173","R",1
4,0,0,-1,1.3,20112,1109053,"Cálculo Diferencial e Integral II","110150173","R",2
0,2.8,5,-1,2.6,20121,1109053,"Cálculo Diferencial e Integral II","110210041","R",2
3,2,0.5,-1,1.8,20122,1109053,"Cálculo Diferencial e Integral II","110210041","R",3
0,2.5,0,-1,0.8,20121,1108089,"Fundamentos de Física Clássica","110210041","R",2
4.2,6.4,1.8,-1,2.5,20122,1108089,"Fundamentos de Física Clássica","110210041","R",3
5.3,4.1,5.9,1.3,3.6,20111,1109113,"Matemática Discreta","110210041","R",1
1.5,2.5,0,-1,1.3,20112,1109053,"Cálculo Diferencial e Integral II","110210041","R",1
5,3.5,4.5,4,4.2,20112,1108089,"Fundamentos de Física Clássica","110210041","R",1
4,3.6,7,6.2,5.4,20112,1109113,"Matemática Discreta","110210041","A",2
6.8,3.6,3.5,2.3,3.7,20111,1109103,"Cálculo Diferencial e Integral I","110210044","R",1
9.2,9.6,7,-1,8.6,20112,1109103,"Cálculo Diferencial e Integral I","110210044","A",2
0,1,0,-1,0.3,20121,1109053,"Cálculo Diferencial e Integral II","110210046","R",1
4.5,8.3,3.8,-1,3.8,20121,1411170,"Teoria dos Grafos","110210046","R",1
5.15,4.6,5.4,-1,3.1,20121,1411181,"Lab. de Programação II","110210046","R",2
5.05,6.4,5.5,4.5,5,20122,1411181,"Lab. de Programação II","110210046","A",3
7.5,3.3,3.5,3.2,4.2,20111,1109103,"Cálculo Diferencial e Integral I","110210046","R",1
2.7,5,7.4,5,5,20122,1109053,"Cálculo Diferencial e Integral II","110210046","A",2
6.1,8.8,7.5,-1,7.5,20122,1411170,"Teoria dos Grafos","110210046","A",2
2.1,2.1,1.05,-1,2.1,20112,1411181,"Lab. de Programação II","110210046","R",1
9.7,8,8.5,-1,8.7,20112,1109103,"Cálculo Diferencial e Integral I","110210046","A",2
0.2,6,0,-1,2.1,20121,1108089,"Fundamentos de Física Clássica","110210047","R",2
3,1.5,4.3,-1,2.9,20122,1108089,"Fundamentos de Física Clássica","110210047","R",3
3,3,3.5,-1,3.2,20112,1108089,"Fundamentos de Física Clássica","110210047","R",1
0,1,0.2,-1,0.4,20111,1109103,"Cálculo Diferencial e Integral I","110210049","R",1
4,2,4,-1,3.3,20111,1109035,"Álgebra Vetorial e Geometria Analítica","110210049","R",1
1.5,1.5,0,-1,1,20112,1109103,"Cálculo Diferencial e Integral I","110210049","R",2
8.9,3.5,0,-1,2.5,20112,1109035,"Álgebra Vetorial e Geometria Analítica","110210049","R",2
4,5.5,2.5,4.8,4.3,20121,1109053,"Cálculo Diferencial e Integral II","110210053","R",2
9,6,7,-1,7.3,20122,1109053,"Cálculo Diferencial e Integral II","110210053","A",3
0,1.2,0,-1,0.4,20121,1108089,"Fundamentos de Física Clássica","110210053","R",2
7.5,7.5,5.6,-1,7.1,20121,1411168,"Programação II","110210053","A",2
6.25,4.6,6.65,5.9,6,20121,1411181,"Lab. de Programação II","110210053","A",2
2.5,6.4,4.3,3.1,3.9,20111,1411176,"Gerência da Informação","110210053","R",1
6.9,5.8,0,0,2.5,20121,1411171,"Teoria da Computação","110210053","R",1
1,0,0,-1,0.3,20112,1109053,"Cálculo Diferencial e Integral II","110210053","R",1
5,5.5,4.5,4,4.6,20112,1108089,"Fundamentos de Física Clássica","110210053","R",1
5.5,5.5,5.5,3.2,4.6,20112,1411168,"Programação II","110210053","R",1
2.8,2.8,1.4,-1,2.8,20112,1411181,"Lab. de Programação II","110210053","R",1
7.2,5.1,7,4.5,5.6,20121,1411176,"Gerência da Informação","110210053","A",2
8.05,8.65,8.65,-1,8.4,20122,1411171,"Teoria da Computação","110210053","A",2
1.7,3.4,1.5,-1,2.3,20111,1411180,"Lab. de Programação I","110210054","R",1
1.7,3.4,1.5,-1,2.4,20111,1411167,"Programação I","110210054","R",1
0.2,6.3,0.2,-1,2.2,20111,1109103,"Cálculo Diferencial e Integral I","110210054","R",1
2.2,3.4,6.4,0,2.4,20121,1109103,"Cálculo Diferencial e Integral I","110210054","R",3
5.4,4.45,3.15,6.4,5,20112,1411180,"Lab. de Programação I","110210054","A",2
5.4,4.45,3.15,6.4,5,20112,1411167,"Programação I","110210054","A",2
5.7,1,6,4.2,4.2,20112,1109103,"Cálculo Diferencial e Integral I","110210054","R",2
0,0,0,-1,0,20121,1108089,"Fundamentos de Física Clássica","110210058","R",1
3.8,4,1.5,-1,3.1,20121,1109049,"Álgebra Linear","110210058","R",1
6.35,3.6,4,5.9,5.2,20121,1411181,"Lab. de Programação II","110210058","A",2
5,5.5,2.3,3,3.8,20111,1109103,"Cálculo Diferencial e Integral I","110210058","R",1
4.1,7.2,6.8,4,5.2,20122,1109113,"Matemática Discreta","110210058","A",2
2,4,3.7,-1,3.2,20122,1108089,"Fundamentos de Física Clássica","110210058","R",2
6,7,5,1.9,4.4,20122,1109049,"Álgebra Linear","110210058","R",2
4.9,5.05,5.15,4.2,4.6,20112,1411181,"Lab. de Programação II","110210058","R",1
7.5,3,7,9.5,7.3,20112,1109103,"Cálculo Diferencial e Integral I","110210058","A",2
1.7,2.6,4.7,-1,3,20112,1109113,"Matemática Discreta","110210058","R",1
0.5,1,0,-1,0.5,20121,1109053,"Cálculo Diferencial e Integral II","110210059","R",2
0.5,1,0.5,-1,0.7,20122,1109053,"Cálculo Diferencial e Integral II","110210059","R",3
0.2,2,0.3,-1,0.8,20121,1108089,"Fundamentos de Física Clássica","110210059","R",2
3.75,2.9,5.55,2.5,3.6,20111,1411181,"Lab. de Programação II","110210059","R",1
3,0.85,0.85,-1,1.8,20121,1411179,"Lab. de Estruturas de Dados e Algoritmos","110210059","R",1
5.3,2.7,2.4,-1,3.5,20121,1411171,"Teoria da Computação","110210059","R",1
3.7,7.3,5.9,2.5,4.4,20111,1109113,"Matemática Discreta","110210059","R",1
2.5,0.25,0.85,-1,1.7,20121,1411172,"Estruturas de Dados e Algoritmos","110210059","R",1
0.1,0,0,-1,0,20112,1109053,"Cálculo Diferencial e Integral II","110210059","R",1
2,4.5,6,4,4.1,20112,1108089,"Fundamentos de Física Clássica","110210059","R",1
4.5,4.5,2.25,5.7,5,20112,1411181,"Lab. de Programação II","110210059","A",2
4,4.5,4.4,7.1,5.5,20122,1411179,"Lab. de Estruturas de Dados e Algoritmos","110210059","A",2
5.95,6.25,6.65,5.8,6.1,20122,1411171,"Teoria da Computação","110210059","A",2
4.6,6.4,7,4.5,5.4,20112,1109113,"Matemática Discreta","110210059","A",2
3.5,4,4.55,7.5,5.4,20122,1411172,"Estruturas de Dados e Algoritmos","110210059","A",2
3,4.5,2,-1,3.2,20111,1109053,"Cálculo Diferencial e Integral II","110210060","R",1
5.8,2,1.5,-1,3.1,20121,1109049,"Álgebra Linear","110210060","R",1
5,4.5,3.5,3.5,4,20121,1114107,"Probabilidade e Estatística","110210060","R",1
2,2,8,7.5,5.4,20112,1109053,"Cálculo Diferencial e Integral II","110210060","A",2
2.5,1.6,2.4,-1,2.2,20122,1109049,"Álgebra Linear","110210060","R",2
4.5,2.75,4,4,4.2,20122,1114107,"Probabilidade e Estatística","110210060","R",2
1.5,7,3.5,3,3.6,20111,1109053,"Cálculo Diferencial e Integral II","110210061","R",1
0,2.5,2,-1,1.5,20121,1114107,"Probabilidade e Estatística","110210061","R",1
3.5,5.8,4,6,5,20112,1109053,"Cálculo Diferencial e Integral II","110210061","A",2
6.75,6.5,4,3,4.4,20122,1114107,"Probabilidade e Estatística","110210061","R",2
3.6,2,0,-1,1.9,20111,1109103,"Cálculo Diferencial e Integral I","110210065","R",1
6,3.5,2.5,6.5,5,20112,1109103,"Cálculo Diferencial e Integral I","110210065","A",2
4.45,7.2,6.95,3,4.4,20121,1411179,"Lab. de Estruturas de Dados e Algoritmos","110210066","R",2
5.4,3.1,7,4.7,5,20121,1109103,"Cálculo Diferencial e Integral I","110210066","A",2
5.5,3,8,7,6.1,20121,1109035,"Álgebra Vetorial e Geometria Analítica","110210066","A",2
5.25,3.75,3.5,2,3.4,20121,1411172,"Estruturas de Dados e Algoritmos","110210066","R",2
2,0.15,0.95,-1,1.6,20112,1411179,"Lab. de Estruturas de Dados e Algoritmos","110210066","R",1
1,4.7,2,-1,2.6,20112,1109103,"Cálculo Diferencial e Integral I","110210066","R",1
6.5,2.5,0,-1,3,20112,1109035,"Álgebra Vetorial e Geometria Analítica","110210066","R",1
3.25,2.75,0.5,-1,2.1,20112,1411172,"Estruturas de Dados e Algoritmos","110210066","R",1
3.1,3.1,3.1,-1,3.1,20111,1411168,"Programação II","110210067","R",1
7.7,7.7,4.3,-1,7,20121,1411168,"Programação II","110210067","A",3
1.8,0,1.75,-1,1.9,20111,1411181,"Lab. de Programação II","110210067","R",1
2.6,2.6,2.6,-1,2.6,20112,1411168,"Programação II","110210067","R",2
4.75,4.5,4.45,5.9,5.3,20121,1411181,"Lab. de Programação II","110210067","A",2
2.5,6.5,3,5,4.4,20111,1109053,"Cálculo Diferencial e Integral II","110210068","R",1
3.5,2,3,-1,2.8,20121,1114107,"Probabilidade e Estatística","110210068","R",1
5,8.5,3.5,7.5,6.4,20112,1109053,"Cálculo Diferencial e Integral II","110210068","A",2
4.75,7.75,6,5.5,5.4,20122,1114107,"Probabilidade e Estatística","110210068","A",2
0.4,5.2,1.3,-1,2.3,20111,1411180,"Lab. de Programação I","110210069","R",1
5.2,0.4,1.3,-1,2.7,20111,1411167,"Programação I","110210069","R",1
1.3,2.8,0.2,-1,1.4,20111,1109103,"Cálculo Diferencial e Integral I","110210069","R",1
0,2.5,0,-1,0.8,20111,1109035,"Álgebra Vetorial e Geometria Analítica","110210069","R",1
5.1,4.2,3.4,6.5,5,20112,1411180,"Lab. de Programação I","110210069","A",2
5.1,4.2,3.4,6.5,5.1,20112,1411167,"Programação I","110210069","A",2
0,0.9,0,-1,0.3,20121,1109103,"Cálculo Diferencial e Integral I","110210069","R",2
1,9.7,7.6,6.5,6.3,20112,1109035,"Álgebra Vetorial e Geometria Analítica","110210069","A",2
3,5.5,1.5,-1,3.3,20111,1109053,"Cálculo Diferencial e Integral II","110210072","R",1
2,3,3,-1,2.7,20121,1114107,"Probabilidade e Estatística","110210072","R",1
4,3,7,4.5,4.6,20112,1109053,"Cálculo Diferencial e Integral II","110210072","R",2
3.25,3.25,3.5,-1,3.4,20122,1114107,"Probabilidade e Estatística","110210072","R",2
8,6.6,3.8,5.2,5.7,20122,1109049,"Álgebra Linear","110210075","A",2
5,5.5,2.5,0.5,2.8,20121,1114107,"Probabilidade e Estatística","110210075","R",2
7.5,7.25,5.5,4,5.5,20122,1114107,"Probabilidade e Estatística","110210075","A",3
4.1,3.5,2.5,-1,3.4,20112,1109049,"Álgebra Linear","110210075","R",1
2.8,1.8,2.2,-1,2.3,20112,1114107,"Probabilidade e Estatística","110210075","R",1
3.3,2.6,4,-1,3.3,20121,1109053,"Cálculo Diferencial e Integral II","110210078","R",2
7,7.5,8,-1,7.5,20122,1109053,"Cálculo Diferencial e Integral II","110210078","A",3
0,0,0,-1,0,20121,1108089,"Fundamentos de Física Clássica","110210078","R",2
9.5,5.9,6.6,-1,7.3,20122,1108089,"Fundamentos de Física Clássica","110210078","A",3
6,4.5,0,-1,3.5,20111,1109049,"Álgebra Linear","110210078","R",1
6,3.7,7.8,4.6,5.3,20121,1411176,"Gerência da Informação","110210078","A",2
2,2,0,-1,1.3,20112,1109053,"Cálculo Diferencial e Integral II","110210078","R",1
3,4.5,5,0,2.5,20112,1108089,"Fundamentos de Física Clássica","110210078","R",1
7.5,5.5,7,6.6,6.7,20122,1109049,"Álgebra Linear","110210078","A",2
5.1,3.3,7.6,2.4,4.1,20112,1411176,"Gerência da Informação","110210078","R",1
3,0,0,-1,1,20111,1109053,"Cálculo Diferencial e Integral II","110210080","R",1
4.5,2.5,2,-1,3,20121,1109053,"Cálculo Diferencial e Integral II","110210080","R",3
3.5,6,4,6.5,5.3,20122,1109053,"Cálculo Diferencial e Integral II","110210080","A",4
5,1.8,2.3,-1,3,20122,1109049,"Álgebra Linear","110210080","R",2
3.5,0,3.5,-1,2.3,20112,1109053,"Cálculo Diferencial e Integral II","110210080","R",2
2.5,0,0,-1,0.8,20112,1109049,"Álgebra Linear","110210080","R",1
3.35,1.6,0.55,-1,2.2,20121,1411179,"Lab. de Estruturas de Dados e Algoritmos","110210081","R",1
2,3,7,0.2,2.5,20111,1109103,"Cálculo Diferencial e Integral I","110210081","R",1
3.4,4,4.6,1.3,2.9,20121,1109103,"Cálculo Diferencial e Integral I","110210081","R",2
5,3,0,-1,2.7,20111,1109035,"Álgebra Vetorial e Geometria Analítica","110210081","R",1
0.5,0.5,1.6,-1,1.1,20121,1411172,"Estruturas de Dados e Algoritmos","110210081","R",1
7.3,7.3,7.1,-1,7.3,20122,1411179,"Lab. de Estruturas de Dados e Algoritmos","110210081","A",2
7.1,3.8,6.8,8.3,6.9,20122,1109103,"Cálculo Diferencial e Integral I","110210081","A",3
3,2,7,7,5.2,20121,1109035,"Álgebra Vetorial e Geometria Analítica","110210081","A",2
5.25,6.75,7.85,9,7.6,20122,1411172,"Estruturas de Dados e Algoritmos","110210081","A",2
0,4.9,2.5,-1,2.5,20111,1411170,"Teoria dos Grafos","110210082","R",1
7.3,2.7,3,5.4,4.7,20111,1109049,"Álgebra Linear","110210082","R",1
3.85,6.5,5.7,3,4.1,20121,1411179,"Lab. de Estruturas de Dados e Algoritmos","110210082","R",1
3.5,3.6,0,-1,2.4,20111,1114107,"Probabilidade e Estatística","110210082","R",1
6,6.5,3,0.5,3.3,20121,1114107,"Probabilidade e Estatística","110210082","R",3
5.5,6.75,7,5,5.8,20122,1114107,"Probabilidade e Estatística","110210082","A",4
3.25,2.5,3.85,-1,3.6,20121,1411172,"Estruturas de Dados e Algoritmos","110210082","R",1
6,7.5,7,7.3,7,20112,1411170,"Teoria dos Grafos","110210082","A",2
8,5,2.5,6.5,5.7,20112,1109049,"Álgebra Linear","110210082","A",2
2.1,5.2,5.7,6.5,5.4,20122,1411179,"Lab. de Estruturas de Dados e Algoritmos","110210082","A",2
3.5,4.8,2.7,-1,3.7,20112,1114107,"Probabilidade e Estatística","110210082","R",2
4.25,7.25,6.85,8,6.6,20122,1411172,"Estruturas de Dados e Algoritmos","110210082","A",2
0,3.5,0.5,-1,1.3,20111,1109053,"Cálculo Diferencial e Integral II","110210091","R",1
3.5,3.5,6,3.5,4,20121,1109053,"Cálculo Diferencial e Integral II","110210091","R",3
5,8.5,5,5,5.7,20122,1109053,"Cálculo Diferencial e Integral II","110210091","A",4
2.5,5,4.5,2.5,3.4,20112,1109053,"Cálculo Diferencial e Integral II","110210091","R",2
0.5,6,2.5,-1,3,20111,1109053,"Cálculo Diferencial e Integral II","110210092","R",1
6.5,6.5,3.2,4.4,5.2,20121,1411168,"Programação II","110210092","A",2
2,2.5,2.5,-1,2.3,20121,1114107,"Probabilidade e Estatística","110210092","R",1
4.6,3,6.6,2.8,3.9,20121,1411176,"Gerência da Informação","110210092","R",1
4.5,5.3,7,5,5.4,20112,1109053,"Cálculo Diferencial e Integral II","110210092","A",2
2.9,2.9,2.9,-1,2.9,20112,1411168,"Programação II","110210092","R",1
1.5,2.25,2.25,-1,1.9,20122,1114107,"Probabilidade e Estatística","110210092","R",2
6.1,6.2,5.9,5,5.7,20122,1411176,"Gerência da Informação","110210092","A",2
8,4.8,5.3,3.8,5.1,20121,1109053,"Cálculo Diferencial e Integral II","110210093","A",2
0.2,4,2.5,-1,2.2,20121,1108089,"Fundamentos de Física Clássica","110210093","R",2
4.2,6.4,1.8,6.5,5.1,20122,1108089,"Fundamentos de Física Clássica","110210093","A",3
2.5,2.5,0.5,-1,1.8,20112,1109053,"Cálculo Diferencial e Integral II","110210093","R",1
5,5.5,4,2,3.7,20112,1108089,"Fundamentos de Física Clássica","110210093","R",1
0,0,0,-1,0,20121,1108089,"Fundamentos de Física Clássica","110210095","R",2
1.6,2.6,0,-1,1.4,20121,1109113,"Matemática Discreta","110210095","R",2
5,1,3.5,-1,3.2,20112,1108089,"Fundamentos de Física Clássica","110210095","R",1
1.8,4.5,6,4.8,4.4,20112,1109113,"Matemática Discreta","110210095","R",1
6,9,6,-1,7,20122,1108089,"Fundamentos de Física Clássica","110210097","A",2
4,4,4,2.5,3.4,20112,1108089,"Fundamentos de Física Clássica","110210097","R",1
0.8,5.2,7.3,-1,3.6,20111,1411180,"Lab. de Programação I","110210099","R",1
5.2,0.8,7.3,0.7,2.7,20111,1411167,"Programação I","110210099","R",1
0.5,8.8,3.5,4.5,4.4,20111,1109103,"Cálculo Diferencial e Integral I","110210099","R",1
6.6,7.3,1.9,4.5,5.2,20112,1411180,"Lab. de Programação I","110210099","A",2
6.6,7.3,1.9,4.5,5.1,20112,1411167,"Programação I","110210099","A",2
5.5,1.3,6,2.9,3.7,20112,1109103,"Cálculo Diferencial e Integral I","110210099","R",2
2.8,0,0,-1,0.9,20111,1109103,"Cálculo Diferencial e Integral I","110210104","R",1
6.5,4,2,1,2.9,20111,1109035,"Álgebra Vetorial e Geometria Analítica","110210104","R",1
1,0.5,2.5,-1,1.3,20112,1109103,"Cálculo Diferencial e Integral I","110210104","R",2
6,7.3,7,6.5,6.7,20112,1109035,"Álgebra Vetorial e Geometria Analítica","110210104","A",2
1.5,0,0,-1,0.5,20111,1109053,"Cálculo Diferencial e Integral II","110210105","R",1
3.5,1.1,8,3.8,4,20121,1109053,"Cálculo Diferencial e Integral II","110210105","R",3
5.5,9,4,6,6.1,20122,1109053,"Cálculo Diferencial e Integral II","110210105","A",4
4.5,3,4.5,1.5,3,20111,1108089,"Fundamentos de Física Clássica","110210105","R",1
4,4,4,4,4,20121,1108089,"Fundamentos de Física Clássica","110210105","R",3
8,6.8,8.6,-1,7.8,20122,1108089,"Fundamentos de Física Clássica","110210105","A",4
4.5,2,2.5,-1,3,20112,1109053,"Cálculo Diferencial e Integral II","110210105","R",2
3.5,3,6,1.5,3.1,20112,1108089,"Fundamentos de Física Clássica","110210105","R",2
2,3.5,3.5,-1,3,20121,1109053,"Cálculo Diferencial e Integral II","110210107","R",2
1.5,4,6.5,4.5,4.2,20122,1109053,"Cálculo Diferencial e Integral II","110210107","R",3
0,0.1,0,-1,0,20121,1108089,"Fundamentos de Física Clássica","110210107","R",2
2.2,6.8,1.8,-1,3.7,20111,1411180,"Lab. de Programação I","110210107","R",1
6.8,2.2,1.8,2.8,3.6,20111,1411167,"Programação I","110210107","R",1
1.5,5.9,4.9,3,3.7,20121,1109113,"Matemática Discreta","110210107","R",1
1.5,0,0,-1,0.5,20112,1109053,"Cálculo Diferencial e Integral II","110210107","R",1
4.5,1,3,-1,2.8,20112,1108089,"Fundamentos de Física Clássica","110210107","R",1
