nota1,nota2,nota3,final,media,periodo,coddisciplina,disciplina,matricula,situacao,erro
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,109210043,A,0.0333333333333
10.0,10.0,3.0,-1.0,7.7,20111,1108090,Fundamentos de Física Moderna,108110496,A,0.0333333333333
10.0,10.0,6.5,-1.0,8.8,20111,1108090,Fundamentos de Física Moderna,110110081,A,0.0333333333333
9.0,10.0,6.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,109210049,A,0.0333333333333
9.0,10.0,10.0,-1.0,9.7,20111,1108090,Fundamentos de Física Moderna,110110085,A,0.0333333333333
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,110110087,A,0.0333333333333
9.0,10.0,10.0,-1.0,9.7,20111,1108090,Fundamentos de Física Moderna,110110132,A,0.0333333333333
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,110110857,A,0.0333333333333
10.0,9.0,5.0,-1.0,8.0,20111,1108090,Fundamentos de Física Moderna,109110805,A,0.0
10.0,10.0,10.0,-1.0,10.0,20111,1108090,Fundamentos de Física Moderna,110110074,A,0.0
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,110110076,A,0.0333333333333
9.0,10.0,6.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,110110114,A,0.0333333333333
10.0,9.0,5.0,-1.0,8.0,20111,1108090,Fundamentos de Física Moderna,108210019,A,0.0
10.0,10.0,10.0,-1.0,10.0,20111,1108090,Fundamentos de Física Moderna,110110058,A,0.0
10.0,10.0,10.0,-1.0,10.0,20111,1108090,Fundamentos de Física Moderna,110110073,A,0.0
10.0,10.0,7.0,-1.0,9.0,20111,1108090,Fundamentos de Física Moderna,110110078,A,0.0
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,110110079,A,0.0333333333333
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,110110117,A,0.0333333333333
9.0,10.0,8.5,-1.0,9.2,20111,1108090,Fundamentos de Física Moderna,110110116,A,0.0333333333333
10.0,10.0,7.5,-1.0,9.2,20111,1108090,Fundamentos de Física Moderna,109210030,A,0.0333333333333
10.0,10.0,6.0,-1.0,8.7,20111,1108090,Fundamentos de Física Moderna,109210019,A,0.0333333333333
10.0,10.0,7.5,-1.0,9.2,20111,1108090,Fundamentos de Física Moderna,109210036,A,0.0333333333333
10.0,10.0,10.0,-1.0,10.0,20111,1108090,Fundamentos de Física Moderna,110110110,A,0.0
10.0,10.0,6.0,-1.0,8.7,20111,1108090,Fundamentos de Física Moderna,111110079,A,0.0333333333333
9.0,10.0,9.0,-1.0,9.3,20111,1108090,Fundamentos de Física Moderna,110110096,A,0.0333333333333
10.0,10.0,9.0,-1.0,9.7,20111,1108090,Fundamentos de Física Moderna,109110063,A,0.0333333333333
10.0,10.0,10.0,-1.0,10.0,20111,1108090,Fundamentos de Física Moderna,110110125,A,0.0
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,109210011,A,0.0333333333333
9.0,10.0,9.5,-1.0,9.5,20111,1108090,Fundamentos de Física Moderna,109210057,A,0.0
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,109210059,A,0.0333333333333
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,111110109,A,0.0333333333333
9.0,10.0,6.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,109110808,A,0.0333333333333
10.0,10.0,3.0,-1.0,7.7,20111,1108090,Fundamentos de Física Moderna,107210224,A,0.0333333333333
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,110110121,A,0.0333333333333
10.0,10.0,4.5,-1.0,8.2,20111,1108090,Fundamentos de Física Moderna,110110094,A,0.0333333333333
9.0,10.0,5.0,-1.0,8.0,20111,1108090,Fundamentos de Física Moderna,110110066,A,0.0
5.0,5.0,6.0,0.0,3.2,20121,1108090,Fundamentos de Física Moderna,109110095,R,
8.3,7.3,8.5,-1.0,8.0,20121,1108090,Fundamentos de Física Moderna,111110929,A,0.0333333333333
5.0,6.8,6.0,3.6,5.0,20121,1108090,Fundamentos de Física Moderna,112150440,A,
10.0,8.5,9.0,-1.0,9.2,20121,1108090,Fundamentos de Física Moderna,111110921,A,0.0333333333333
7.5,8.5,9.0,-1.0,8.3,20121,1108090,Fundamentos de Física Moderna,111110925,A,0.0333333333333
6.0,6.2,9.0,-1.0,7.1,20121,1108090,Fundamentos de Física Moderna,111110907,A,0.0333333333333
10.0,7.5,9.0,-1.0,8.8,20121,1108090,Fundamentos de Física Moderna,111110126,A,0.0333333333333
8.8,7.0,8.0,-1.0,7.9,20121,1108090,Fundamentos de Física Moderna,111110128,A,0.0333333333333
10.0,9.5,8.0,-1.0,9.2,20121,1108090,Fundamentos de Física Moderna,111110100,A,0.0333333333333
9.3,8.0,8.5,-1.0,8.6,20121,1108090,Fundamentos de Física Moderna,111110103,A,0.0
8.5,8.0,9.0,-1.0,8.5,20121,1108090,Fundamentos de Física Moderna,111110060,A,0.0
9.5,8.3,9.0,-1.0,8.9,20121,1108090,Fundamentos de Física Moderna,110150169,A,0.0333333333333
5.0,5.0,9.0,5.0,5.8,20121,1108090,Fundamentos de Física Moderna,109210009,A,
6.0,7.5,9.0,-1.0,7.5,20121,1108090,Fundamentos de Física Moderna,110110129,A,0.0
9.0,9.3,9.0,-1.0,9.1,20121,1108090,Fundamentos de Física Moderna,111110083,A,0.0
10.0,8.0,9.0,-1.0,9.0,20121,1108090,Fundamentos de Física Moderna,111110912,A,0.0
8.5,8.8,9.0,-1.0,8.8,20121,1108090,Fundamentos de Física Moderna,110210068,A,0.0333333333333
6.0,6.0,9.0,-1.0,7.0,20121,1108090,Fundamentos de Física Moderna,110110080,A,0.0
5.5,7.0,9.0,-1.0,7.2,20121,1108090,Fundamentos de Física Moderna,111150292,A,0.0333333333333
7.5,9.3,8.0,-1.0,8.3,20121,1108090,Fundamentos de Física Moderna,110210060,A,0.0333333333333
6.8,9.0,9.0,-1.0,8.3,20121,1108090,Fundamentos de Física Moderna,110210061,A,0.0333333333333
6.3,7.5,9.0,-1.0,7.6,20121,1108090,Fundamentos de Física Moderna,110110974,A,8.881784197e-16
7.5,7.5,9.0,-1.0,8.0,20121,1108090,Fundamentos de Física Moderna,111210399,A,0.0
9.0,6.2,9.0,-1.0,8.1,20121,1108090,Fundamentos de Física Moderna,111110939,A,0.0333333333333
5.0,0.0,8.0,6.0,5.0,20121,1108090,Fundamentos de Física Moderna,110110851,A,
10.0,10.0,10.0,-1.0,10.0,20121,1108090,Fundamentos de Física Moderna,112110875,A,0.0
5.0,7.0,9.0,-1.0,7.0,20121,1108090,Fundamentos de Física Moderna,112110950,A,0.0
0.0,-1.0,4.0,-1.0,1.3,20121,1108090,Fundamentos de Física Moderna,112110953,R,
6.0,5.0,8.0,3.0,5.0,20121,1108090,Fundamentos de Física Moderna,110110070,A,
