"aluno","periodo","cre"
111729,20122,4.27
111735,20111,7.98
111735,20112,7.09
111735,20121,7.23
111735,20122,7.22
111737,20111,4.30
111737,20112,4.80
111738,20111,3.73
111738,20112,5.25
111762,20111,4.88
111768,20111,8.15
111768,20112,7.34
111768,20121,7.86
111768,20122,7.26
111770,20111,8.38
111770,20112,7.82
111770,20121,8.02
111770,20122,8.02
111782,20111,3.25
111787,20111,8.24
111787,20112,7.82
111787,20121,8.03
112103,20112,6.55
112103,20121,6.90
112103,20122,6.77
112111,20112,7.97
112111,20121,7.50
112116,20112,5.14
112116,20121,4.50
112122,20112,6.79
112122,20121,5.50
112122,20122,6.34
112130,20112,4.03
112130,20121,2.74
112130,20122,3.36
112135,20112,5.80
112135,20121,4.50
112135,20122,4.23
112167,20112,6.14
112167,20121,6.30
112167,20122,6.10
112171,20112,6.14
112171,20121,6.40
112171,20122,6.29
112175,20112,6.68
112175,20121,7.64
112175,20122,6.61
112191,20112,4.19
112191,20121,4.95
112191,20122,5.01
112195,20112,2.44
112200,20112,4.19
112200,20121,2.75
112201,20112,4.28
112201,20121,3.68
112201,20122,3.40
112222,20112,7.61
112222,20121,7.55
112222,20122,7.67
112230,20112,5.59
112230,20121,6.75
112230,20122,5.27
112232,20112,4.08
112273,20112,5.12
112273,20121,8.60
112278,20112,4.79
112278,20121,2.83
112279,20112,5.29
112279,20121,1.80
112283,20112,4.59
112283,20121,3.63
112283,20122,3.89
112287,20112,5.58
112287,20121,5.78
112287,20122,5.38
112290,20112,4.67
112290,20121,3.08
112293,20112,4.53
112293,20121,3.30
112293,20122,4.34
112303,20112,4.91
112303,20121,4.95
112303,20122,4.43
112317,20112,5.75
112317,20121,2.30
112346,20112,6.00
112346,20121,5.57
112347,20112,4.59
112347,20121,3.46
112347,20122,4.02
112354,20112,5.78
112354,20121,5.08
112363,20112,7.19
112363,20121,8.11
112366,20112,4.97
112366,20121,2.85
112366,20122,4.75
112378,20112,6.03
112378,20121,6.30
112378,20122,6.37
112381,20112,7.10
112381,20121,7.87
112381,20122,7.30
112388,20112,5.25
112388,20121,3.76
112388,20122,4.54
112389,20112,5.48
112389,20121,6.03
112389,20122,5.14
112399,20112,4.76
112399,20121,9.50
112411,20112,4.08
112411,20121,6.37
112411,20122,4.25
112424,20112,1.03
112426,20112,4.30
112434,20112,5.01
112434,20121,5.20
112434,20122,4.84
112438,20112,7.23
112438,20121,7.55
112438,20122,6.92
112441,20112,5.30
112441,20121,5.10
112460,20112,4.78
112460,20121,5.66
112460,20122,5.84
112464,20112,5.78
112464,20121,4.62
112465,20112,4.08
112465,20121,5.20
112465,20122,4.42
112467,20112,6.28
112467,20121,6.17
112467,20122,6.35
112468,20112,4.37
112468,20121,5.99
112479,20112,6.29
112479,20121,6.94
112479,20122,6.64
112485,20112,2.82
112485,20121,3.14
112485,20122,3.21
112486,20112,5.85
112486,20121,7.23
112486,20122,5.40
112490,20112,4.04
112490,20121,2.67
112490,20122,3.39
112497,20112,6.85
112497,20121,5.73
112497,20122,6.46
112500,20112,5.07
112500,20121,5.23
112500,20122,5.19
112501,20112,4.85
112501,20121,4.26
112501,20122,5.48
112515,20112,6.61
112515,20121,5.68
112515,20122,5.91
112527,20112,5.22
112527,20121,3.91
112529,20112,6.92
112529,20121,5.85
112529,20122,6.49
112564,20112,5.72
112564,20121,4.52
112564,20122,4.61
112566,20112,5.19
112566,20121,5.16
112566,20122,4.72
112573,20112,6.51
112573,20121,6.97
112573,20122,6.23
112576,20112,7.03
112576,20121,6.57
112576,20122,7.51
112578,20112,4.98
112578,20121,3.68
112578,20122,4.67
112580,20112,5.58
112603,20112,8.50
112604,20112,6.66
112604,20121,6.62
112604,20122,5.90
112613,20112,6.04
112613,20121,8.83
112616,20112,4.52
112616,20121,3.57
112624,20112,5.86
112624,20121,6.05
112624,20122,6.36
112626,20112,5.51
112626,20121,7.35
112626,20122,4.90
112633,20112,7.63
112633,20121,7.35
112633,20122,7.61
112638,20112,3.69
112638,20121,2.97
112638,20122,2.38
112639,20112,8.37
112639,20121,8.50
112645,20112,7.22
112645,20121,6.22
112645,20122,6.73
112657,20112,7.67
112657,20121,8.60
112659,20112,5.49
112659,20121,5.50
112659,20122,6.78
112665,20112,4.58
112665,20121,5.08
112679,20112,7.42
112679,20121,6.51
112679,20122,6.84
112683,20112,3.85
112683,20121,4.88
112683,20122,4.12
112690,20112,6.90
112690,20121,6.58
112690,20122,6.82
112697,20112,6.55
112697,20121,5.43
112697,20122,6.14
112702,20112,4.63
112702,20121,3.60
112702,20122,4.36
112717,20112,2.81
112717,20121,0.10
112718,20112,2.85
112718,20121,1.07
112718,20122,1.48
112720,20112,4.36
112720,20121,3.40
112721,20112,4.57
112721,20121,2.85
112721,20122,3.66
112725,20112,3.07
112733,20112,4.65
112734,20112,4.53
112734,20121,4.60
112751,20112,6.10
112751,20121,5.74
112751,20122,5.32
112760,20112,7.18
112760,20121,6.30
112760,20122,6.72
112773,20112,6.62
112773,20121,6.57
112773,20122,6.52
112774,20112,7.09
112774,20121,6.20
112774,20122,7.16
112784,20112,5.09
112784,20121,3.75
112785,20112,5.13
112785,20121,6.06
112785,20122,5.00
112791,20112,6.98
112791,20121,7.10
112791,20122,7.12
121114,20121,9.52
121114,20122,9.48
121115,20121,2.95
121115,20122,3.28
121132,20121,7.45
121132,20122,6.89
121133,20121,7.40
121133,20122,7.29
121139,20121,7.78
121139,20122,7.26
121145,20121,6.45
121145,20122,5.78
121149,20121,4.87
121149,20122,5.48
121153,20121,6.57
121153,20122,5.29
121155,20121,6.32
121155,20122,6.11
121162,20121,8.78
121162,20122,8.50
121168,20121,6.47
121168,20122,6.03
121172,20121,6.83
121172,20122,7.43
121214,20121,6.53
121214,20122,6.81
121237,20121,3.97
121237,20122,4.27
121248,20121,4.58
121248,20122,4.74
121250,20121,5.80
121250,20122,4.68
121253,20121,8.78
121253,20122,8.60
121259,20121,5.00
121259,20122,2.29
121261,20121,5.25
121261,20122,4.03
121262,20121,4.93
121262,20122,4.33
121264,20121,8.87
121264,20122,8.97
121271,20121,7.98
121271,20122,7.83
121277,20121,6.02
121277,20122,5.34
121286,20121,9.58
121286,20122,9.39
121289,20121,8.64
121289,20122,8.84
121296,20121,3.50
121296,20122,3.34
121299,20121,8.38
121299,20122,8.34
121302,20121,4.45
121305,20121,4.62
121305,20122,5.33
121310,20121,6.80
121310,20122,6.55
121314,20121,7.93
121314,20122,7.43
121315,20121,6.73
121316,20121,5.86
121316,20122,5.79
121319,20121,7.40
121319,20122,7.47
121335,20121,7.47
121335,20122,6.15
121338,20121,6.20
121338,20122,6.11
121342,20121,5.30
121342,20122,6.18
121345,20121,6.98
121348,20121,6.53
121362,20121,7.95
121362,20122,7.02
121365,20121,7.48
121365,20122,7.03
121371,20121,9.13
121371,20122,8.77
121377,20121,5.70
121377,20122,6.28
121385,20121,8.03
121385,20122,7.45
121391,20121,2.60
121394,20121,3.77
121394,20122,5.08
121396,20121,6.40
121400,20121,5.47
121400,20122,5.96
121407,20121,3.32
121407,20122,3.62
121423,20121,7.92
121423,20122,7.49
121428,20121,3.72
121428,20122,4.41
121440,20121,6.27
121440,20122,6.46
121443,20121,6.92
121443,20122,6.52
121444,20121,8.05
121444,20122,7.31
121452,20121,6.02
121452,20122,6.31
121454,20121,3.18
121454,20122,3.55
121455,20121,7.70
121455,20122,7.19
121456,20121,3.30
121456,20122,2.07
121475,20121,6.18
121475,20122,5.82
121478,20121,7.22
121481,20121,4.33
121481,20122,5.49
121516,20121,3.60
121516,20122,3.59
121525,20121,4.28
121525,20122,5.29
121538,20121,5.88
121538,20122,6.11
121543,20121,4.84
121543,20122,5.24
121544,20121,2.90
121544,20122,2.67
121549,20121,6.42
121549,20122,5.00
121550,20121,6.87
121550,20122,6.43
121561,20121,4.60
121561,20122,4.01
121594,20121,6.85
121594,20122,7.01
121600,20121,7.10
121600,20122,6.54
121601,20121,6.07
121601,20122,5.60
121612,20121,8.53
121612,20122,8.16
121631,20121,8.13
121631,20122,7.62
121636,20121,1.90
121642,20121,7.20
121642,20122,2.73
121647,20121,0.00
121648,20121,6.67
121648,20122,6.97
121656,20121,3.22
121656,20122,5.39
121668,20121,5.32
121668,20122,5.93
121669,20121,6.30
121669,20122,5.78
121677,20121,8.28
121677,20122,7.71
121685,20121,8.53
121685,20122,7.77
121692,20121,6.41
121692,20122,5.65
121693,20121,5.18
121706,20121,8.00
121706,20122,7.64
121708,20121,7.92
121708,20122,7.29
121711,20121,8.98
121711,20122,8.74
121712,20121,3.93
121712,20122,5.52
121739,20121,7.98
121739,20122,7.20
121743,20121,4.77
121743,20122,4.49
121748,20121,6.37
121748,20122,6.42
121759,20121,5.38
121764,20121,8.97
121764,20122,8.27
121777,20121,3.90
121777,20122,4.78
122101,20122,7.13
122106,20122,3.03
122107,20122,8.43
122112,20122,3.62
122118,20122,1.50
122134,20122,5.27
122137,20122,6.30
122144,20122,7.20
122152,20122,4.70
122159,20122,7.90
122176,20122,5.53
122179,20122,3.95
122180,20122,2.60
122185,20122,8.96
122192,20122,8.15
122199,20122,5.46
122206,20122,6.83
122215,20122,6.73
122219,20122,6.55
122221,20122,5.66
122225,20122,5.77
122231,20122,4.47
122246,20122,6.28
122251,20122,3.22
122254,20122,7.83
122257,20122,6.55
122265,20122,2.20
122270,20122,3.32
122274,20122,4.75
122295,20122,8.32
122300,20122,6.58
122311,20122,2.85
122313,20122,8.03
122323,20122,6.75
122327,20122,7.92
122328,20122,3.35
122332,20122,7.58
122344,20122,8.32
122349,20122,5.90
122368,20122,3.42
122380,20122,7.66
122402,20122,5.82
122406,20122,3.30
122416,20122,7.38
122447,20122,7.10
122449,20122,8.18
122450,20122,7.52
122462,20122,6.80
122487,20122,5.20
122494,20122,3.33
122502,20122,7.77
122504,20122,7.48
122512,20122,3.66
122530,20122,2.50
122537,20122,9.04
122540,20122,6.27
122548,20122,3.65
122551,20122,3.36
122568,20122,3.73
122571,20122,5.42
122579,20122,3.62
122608,20122,6.00
122614,20122,7.02
122619,20122,8.73
122650,20122,5.43
122652,20122,4.43
122660,20122,9.03
122661,20122,7.70
122667,20122,5.62
122676,20122,5.10
122680,20122,8.10
122687,20122,7.22
122695,20122,4.32
122700,20122,6.74
122741,20122,2.97
122755,20122,1.80
122761,20122,7.82
122766,20122,7.72
122767,20122,4.72
122776,20122,8.27
122780,20122,6.59
122796,20122,4.34
