media,CODIGO,matricula,PeriodoRelativo
7.2,1307151,1121491,1
8.3,1307151,1121140,1
7.3,1307151,112168,1
8.2,1307151,1121716,1
8.3,1307151,1121474,1
8.2,1307151,1121602,1
8.7,1307151,1112690,2
8,1307151,1111707,3
8.3,1307151,1121287,1
7.8,1307151,1121755,1
8.8,1307151,1121119,1
9.1,1307151,1121630,1
7.5,1307151,1121353,1
8,1307151,112176,1
8.4,1307151,112184,1
7.8,1307151,1121584,1
9.7,1307151,1121106,1
9.3,1307151,1121429,1
7.3,1307151,1121260,1
8.8,1307151,1121323,1
9.2,1307151,1121570,1
6.2,1307151,1121224,1
7.8,1307151,1121773,1
7.7,1307151,111139,3
9.3,1307151,1121787,1
8.2,1307151,1121298,1
8.2,1307151,1121731,1
8.2,1307151,1121305,1
8,1307151,112116,1
8.3,1307151,112182,1
7.3,1307151,112281,1
8.2,1307151,1122770,1
7,1307151,1122419,1
7.5,1307151,112299,1
8.8,1307151,1122117,1
7.7,1307151,1122661,1
6.2,1307151,1122555,1
7.7,1307151,1122283,1
8.7,1307151,1122201,1
6,1307151,1122109,1
7.4,1307151,1122289,1
7.3,1307151,1122136,1
8.3,1307151,1122411,1
8.5,1307151,1122142,1
7.2,1307151,1122552,1
7.7,1307151,1122115,1
7.5,1307151,1122215,1
7.3,1307151,112257,1
8.8,1307151,111177,4
8.3,1307151,1122166,1
8.3,1307151,1122617,1
8,1307151,1122764,1
8.7,1307151,1122614,1
1,1307151,112255,1
7,1307151,1122688,1
7,1307151,1122571,1
7.8,1307151,1122237,1
2.8,1307151,1122367,1
7.1,1307151,1122438,1
8.4,1307151,1122435,1
8.8,1307151,1122753,1
9.3,1307151,1122308,1
7.3,1307151,1122473,1
7.7,1307151,112279,1
8.7,1307151,1122148,1
7.8,1307151,1122386,1
8.6,1307151,1122659,1
7.7,1307151,1122272,1
8.1,1307151,1122369,1
7.5,1307151,1122401,1
8.3,1307151,1122582,1
7.5,1307151,112274,1
8.2,1307151,1122242,1
6.3,1307151,1122642,1
7.9,1307151,1122517,1
9,1307151,1122752,1
8.8,1307151,112236,1
8.2,1307151,1122486,1
7.8,1307151,1111145,4
7.8,1307151,1122544,1
5.9,1307151,1122634,1
7.2,1307151,1122616,1
7.7,1307151,1122537,1
7.2,1307151,1122223,1
7.2,1307151,111197,4
7.2,1307151,1122204,1
9,1307151,1111394,4
7.6,1307151,1122170,1
9.2,1307151,1122162,1
5.8,1307151,1122157,1
8.2,1307151,1122199,1
7.7,1307151,1122501,1
6.5,1307151,1122748,1
7,1307151,1122590,1
5,1307151,1122488,1
6.2,1307151,1122385,1
7.7,1307151,1122313,1
7.6,1307151,1122758,1
8.3,1307151,1122693,1
7.9,1307151,1122263,1
8.2,1307151,112249,1
7.3,1307151,1122381,1
7.7,1307151,1122495,1
7,1307151,1122638,1
8.2,1307151,1112125,1
8.3,1307151,1112388,1
7.2,1307151,1112193,1
7.3,1307151,1112585,1
8.2,1307151,1112280,1
8.5,1307151,111223,1
7.8,1307151,1112445,1
7.5,1307151,1112180,1
9,1307151,1112337,1
7.7,1307151,1112256,1
7.5,1307151,111128,2
7.5,1307151,1112196,1
7.5,1307151,1112785,1
8.7,1307151,1111124,2
8.2,1307151,1112784,1
8.7,1307151,1112549,1
8.3,1307151,1112235,1
8.7,1307151,1112680,1
7.7,1307151,1112620,1
8,1307151,1112726,1
8.7,1307151,1112500,1
8.5,1307151,1112647,1
7.5,1307151,111159,2
8,1307151,1112165,1
8,1307151,1112160,1
7.8,1307151,1111721,2
8.2,1307151,1112284,1
8.7,1307151,1112328,1
8.5,1307151,1112378,1
8,1307151,1112735,1
8.3,1307151,1112331,1
8.3,1307151,1112649,1
8.3,1307151,1112781,1
8,1307151,1112489,1
7.8,1307151,111243,1
8.3,1307151,111225,1
8.8,1307151,1112299,1
8,1307151,1112468,1
7.7,1307151,1112780,1
3.2,1307151,1112171,1
7.7,1307151,1112257,1
8.3,1307151,1112705,1
8.2,1307151,1112250,1
8.7,1307151,1112206,1
8.3,1307151,1112746,1
7.3,1307151,1112761,1
8,1307151,1112286,1
8.7,1307151,1111395,2
7.8,1307151,1112613,1
9,1307151,1112114,1
8.2,1307151,1112456,1
8.2,1307151,1111426,2
7,1307151,1112221,1
7.7,1307151,1112543,1
7.5,1307151,1112423,1
7.7,1307151,1112222,1
7.5,1307151,1112493,1
7.3,1307151,1112387,1
8.5,1307151,1112611,1
7,1307151,1112637,1
8.2,1307151,111266,1
7.5,1307151,1112218,1
8.7,1307151,1112448,1
7.8,1307151,111252,1
8.7,1307151,1112363,1
8.2,1307151,1112759,1
2.3,1307151,1112172,1
8.5,1307151,1112444,1
8.2,1307151,1112743,1
8.2,1307151,1112516,1
7.3,1307151,111234,1
8.2,1307151,1112326,1
8.3,1307151,1112494,1
8.3,1307151,1112783,1
8.8,1307151,1112248,1
7.2,1307151,1112636,1
8.5,1307151,1112336,1
7.5,1307151,1112175,1
8.2,1307151,1112239,1
7.3,1307151,1112660,1
8.2,1307151,1112183,1
8.5,1411184,1081178,7
8.6,1411184,1081311,7
7.1,1411184,1111101,1
8.4,1411184,1082310,6
5,1411184,1052181,12
7,1411184,1072460,8
7,1411184,1102772,2
7.5,1411184,1061601,11
8.9,1411184,1081765,7
8.6,1411184,1081241,7
7.5,1411184,1081521,7
8.8,1411184,1081578,7
6,1411184,1081467,7
7,1411184,1081406,7
7.3,1411184,1071309,9
8.3,1411184,106219,10
5.1,1411184,1101591,3
7.6,1411184,1071421,9
8.1,1411184,1072229,8
6.1,1411184,1072550,8
7.6,1411184,1081683,7
7.2,1411184,1092322,4
7,1411184,1081400,7
5.7,1411184,1081332,7
7,1411184,1092251,4
7.9,1411184,1081700,7
7.1,1411184,1081763,7
8.2,1411184,1081190,7
7,1411184,1081186,7
7.7,1411184,1101788,3
7,1411184,1091665,7
3.2,1411184,1052523,14
7,1411184,1091490,7
7,1411184,1091230,7
5,1411184,1101143,5
5,1411184,109164,7
7,1411184,1091557,7
5.3,1411184,1091756,7
5,1411184,1091553,7
7.4,1411184,1091414,7
7.8,1411184,1092275,6
8.7,1411184,1091733,7
5,1411184,1091476,7
8.5,1411184,1091150,7
7,1411184,1091648,7
3.5,1411184,107246,10
7.2,1411184,1091565,7
7,1411184,1091720,7
7.6,1411184,1112365,2
7,1411184,1082738,8
5,1411184,1091576,7
7,1411184,1091631,7
7,1411184,1042694,16
3.6,1411184,1112345,2
8.2,1411184,1082156,9
7,1411184,1112643,3
5.3,1411184,1052523,15
7.4,1411184,1091530,8
2.9,1411184,1091577,8
5,1411184,108262,9
8.7,1411184,110185,6
7.6,1411184,1101408,6
7,1411184,1101689,6
7.6,1411184,1101750,6
8.8,1411184,1091671,8
7,1411184,10928,7
7.6,1411184,1111105,4
3.2,1411184,1122339,1
8,1411184,1121515,2
7.4,1411184,1121245,2
7.4,1411184,1092355,7
7,1411184,112290,1
7,1411184,1091668,8
5,1411184,107246,11
5.4,1411184,1111234,4
5,1411184,1122482,1
7,1411184,108138,10
7.5,1411184,1092380,7
7.1,1411184,109245,7
7,1411184,1081164,10
8.1,1411184,109187,8
7,1411184,1121527,2
7,1411184,1082303,9
7,1411184,1101220,6
7.1,1411184,1091744,8
5,1411184,1112345,3
7,1411184,1101682,6
7.2,1411184,1082216,7
