nota1,nota2,nota3,final,media,periodo,coddisciplina,disciplina,matricula,situacao,departamento
6.4,8.7,5.3,-1,7,20111,1411180,Lab. de Programação I,102726,A,dsc
8.7,7.7,8.5,-1,8.3,20111,1411180,Lab. de Programação I,111477,A,dsc
5.6,2,6.5,8.8,6,20111,1411180,Lab. de Programação I,11161,A,dsc
8.9,6.3,8.5,-1,7.7,20111,1411180,Lab. de Programação I,111212,A,dsc
9.3,8.8,9,-1,9,20111,1411180,Lab. de Programação I,111588,A,dsc
5.5,8,8.5,-1,7.2,20111,1411180,Lab. de Programação I,111312,A,dsc
8.2,7.4,0,6.2,6.3,20111,1411180,Lab. de Programação I,101794,A,dsc
7.4,8.1,9.7,-1,8.1,20111,1411180,Lab. de Programação I,111147,A,dsc
8.1,8.5,0,8.8,7.5,20111,1411180,Lab. de Programação I,111306,A,dsc
7.1,8.7,3.7,-1,7.1,20111,1411180,Lab. de Programação I,111359,A,dsc
5.8,6.3,8,4.5,5.6,20111,1411180,Lab. de Programação I,111413,A,dsc
8.6,6.4,5.5,-1,7.2,20111,1411180,Lab. de Programação I,102446,A,dsc
6.7,4.4,6.8,5.4,5.6,20111,1411180,Lab. de Programação I,111194,A,dsc
3.6,5.7,4,3.6,4.1,20111,1411180,Lab. de Programação I,111630,R,dsc
7.8,8.1,8.8,-1,8.1,20111,1411180,Lab. de Programação I,10250,A,dsc
7.3,3.5,7.3,6.4,6.2,20111,1411180,Lab. de Programação I,102750,A,dsc
2.5,6.6,3,4.4,4.2,20111,1411180,Lab. de Programação I,102533,R,dsc
3.3,5.1,3.5,-1,2.4,20111,1411180,Lab. de Programação I,102740,R,dsc
4.1,6.5,6.8,4.2,5,20111,1411180,Lab. de Programação I,102318,A,dsc
3.6,7.2,1.3,-1,2.6,20111,1411180,Lab. de Programação I,102598,R,dsc
5.6,7.1,2.8,5.3,5.5,20111,1411180,Lab. de Programação I,102309,A,dsc
7.9,7.2,2.5,8.1,7.2,20111,1411180,Lab. de Programação I,102699,A,dsc
9.4,7.7,8.6,-1,8.6,20111,1411180,Lab. de Programação I,111123,A,dsc
6.5,6.9,4.3,3.3,5,20111,1411180,Lab. de Programação I,111353,A,dsc
9.1,8.4,9.7,-1,9,20111,1411180,Lab. de Programação I,11191,A,dsc
7.7,7.6,4.3,-1,7,20111,1411180,Lab. de Programação I,111150,A,dsc
6.1,7.7,1.3,8,6.6,20111,1411180,Lab. de Programação I,102792,A,dsc
2.3,6.3,0,-1,3.2,20111,1411180,Lab. de Programação I,111431,R,dsc
6.45,7.3,8.7,-1,7.6,20121,1411180,Lab. de Programação I,12173,A,dsc
8.85,9.6,5,-1,9,20121,1411180,Lab. de Programação I,121764,A,dsc
3.2,4.65,3.85,1.4,3.4,20121,1411180,Lab. de Programação I,111355,R,dsc
9.15,6.4,8.25,-1,8.2,20121,1411180,Lab. de Programação I,121362,A,dsc
4.85,5.55,3.15,6.4,5.7,20121,1411180,Lab. de Programação I,121262,A,dsc
5.65,4.65,5.25,2.9,4.6,20121,1411180,Lab. de Programação I,121668,R,dsc
5.55,7.65,4.5,6.7,6.3,20121,1411180,Lab. de Programação I,121168,A,dsc
0.05,0,1.65,-1,0.6,20121,1411180,Lab. de Programação I,12194,R,dsc
1.5,2,5.45,-1,3.2,20121,1411180,Lab. de Programação I,112501,R,dsc
3.35,6.3,6.55,9.2,6.8,20121,1411180,Lab. de Programação I,121277,A,dsc
3,4.2,5.8,4.1,4.4,20121,1411180,Lab. de Programação I,12136,R,dsc
6.2,3.55,4.4,4.8,5.6,20121,1411180,Lab. de Programação I,112468,A,dsc
5.3,8.1,6.65,9.7,7.7,20121,1411180,Lab. de Programação I,12124,A,dsc
5.3,6.6,7.6,8.2,7.2,20121,1411180,Lab. de Programação I,121549,A,dsc
3.7,2.5,5.15,2.4,4.3,20121,1411180,Lab. de Programação I,112659,R,dsc
5.85,7.9,8.6,-1,7.4,20121,1411180,Lab. de Programação I,121396,A,dsc
9.65,10,9.15,-1,9.6,20121,1411180,Lab. de Programação I,121286,A,dsc
8.45,6,8.8,-1,8.1,20121,1411180,Lab. de Programação I,121600,A,dsc
6.06666666667,6.86666666667,8.26666666667,7.6,7,20121,1411180,Lab. de Programação I,121423,A,dsc
5.4,3.9,1,4.7,4.6,20121,1411180,Lab. de Programação I,121172,R,dsc
8,4.8,7.3,-1,7,20121,1411180,Lab. de Programação I,12169,A,dsc
9.6,9.7,7.3,-1,8.6,20121,1411180,Lab. de Programação I,121748,A,dsc
5.3,7.56666666667,8.93333333333,9.3,7.5,20121,1411180,Lab. de Programação I,12164,A,dsc
9.4,7.8,9.3,-1,9.1,20121,1411180,Lab. de Programação I,121612,A,dsc
4.5,5.75,3.35,8.9,6.5,20121,1411180,Lab. de Programação I,121133,A,dsc
8.45,9.15,5,-1,8.9,20121,1411180,Lab. de Programação I,121444,A,dsc
4.95,6.05,8.45,8.7,7.1,20121,1411180,Lab. de Programação I,121561,A,dsc
8.95,7.85,3.55,-1,8.7,20121,1411180,Lab. de Programação I,121264,A,dsc
5,9.1,6.4,6.5,6.4,20121,1411180,Lab. de Programação I,121669,A,dsc
7.55,8.5,8.85,-1,8.3,20121,1411180,Lab. de Programação I,121706,A,dsc
6.8,6.4,9,-1,7.6,20121,1411180,Lab. de Programação I,112465,A,dsc
0.2,0,1.45,-1,0.6,20121,1411180,Lab. de Programação I,121302,R,dsc
8.25,8.4,8.7,-1,8.5,20121,1411180,Lab. de Programação I,121677,A,dsc
6.25,8.4,7.75,-1,7.3,20121,1411180,Lab. de Programação I,121440,A,dsc
8.26666666667,8.2,8.56666666667,-1,8.2,20121,1411180,Lab. de Programação I,121316,A,dsc
8.1,6.4,6.65,-1,7.3,20121,1411180,Lab. de Programação I,121685,A,dsc
8.6,9.1,9.55,-1,9.1,20121,1411180,Lab. de Programação I,121114,A,dsc
3.63333333333,5.63333333333,3.33333333333,-1,3.4,20121,1411180,Lab. de Programação I,112720,R,dsc
1,2,6.2,-1,3.3,20121,1411180,Lab. de Programação I,112460,R,dsc
5.55,5.95,6.1,9.7,7.1,20121,1411180,Lab. de Programação I,12139,A,dsc
1.35,2.6,4.15,-1,2.7,20121,1411180,Lab. de Programação I,121305,R,dsc
9.75,9.4,8.25,-1,9.2,20121,1411180,Lab. de Programação I,121455,A,dsc
3.6,7.6,6.1,8.7,6.7,20121,1411180,Lab. de Programação I,121139,A,dsc
5.95,9.1,8.55,-1,7.7,20121,1411180,Lab. de Programação I,121132,A,dsc
6.75,4.5,9.35,-1,7.4,20121,1411180,Lab. de Programação I,121739,A,dsc
0.4,0,1.25,-1,0.6,20121,1411180,Lab. de Programação I,121516,R,dsc
5.9,6.3,8.4,-1,7,20121,1411180,Lab. de Programação I,121648,A,dsc
2.85,3.4,3.9,-1,3.4,20121,1411180,Lab. de Programação I,12113,R,dsc
3.4,5.3,6.3,6.5,5,20121,1411180,Lab. de Programação I,121550,A,dsc
6.45,5.6,2.05,8.9,7,20121,1411180,Lab. de Programação I,121708,A,dsc
7.65,1.9,5.05,5.9,5.7,20121,1411180,Lab. de Programação I,112734,A,dsc
4.55,4.35,4,2.7,4.2,20121,1411180,Lab. de Programação I,112500,R,dsc
7,7.4,7.55,-1,7.3,20121,1411180,Lab. de Programação I,121261,A,dsc
10,10,9.95,-1,10,20121,1411180,Lab. de Programação I,121711,A,dsc
4.45,6.6,8,9.2,7.5,20121,1411180,Lab. de Programação I,121250,A,dsc
9,9.1,9.7,-1,9.3,20121,1411180,Lab. de Programação I,121299,A,dsc
7.25,6.15,4.95,5.7,6.2,20121,1411180,Lab. de Programação I,11192,A,dsc
5.3,7,7.75,7,6.8,20121,1411180,Lab. de Programação I,121601,A,dsc
4.25,7.4,5.7,6.7,6,20121,1411180,Lab. de Programação I,121743,A,dsc
1.95,1.3,1.95,-1,1.7,20121,1411180,Lab. de Programação I,121428,R,dsc
2.25,4.4,7.75,5.1,5,20121,1411180,Lab. de Programação I,112683,A,dsc
4.4,7.2,8.2,6.9,6.7,20121,1411180,Lab. de Programação I,11282,A,dsc
4.8,6.1,3.2,5.9,5.2,20121,1411180,Lab. de Programação I,121452,A,dsc
0.75,0,5.6,-1,2.6,20121,1411180,Lab. de Programação I,112191,R,dsc
5.65,2.6,8.6,6,6.2,20121,1411180,Lab. de Programação I,112411,A,dsc
2.8,4.8,6.4,5,4.6,20121,1411180,Lab. de Programação I,121759,R,dsc
7.4,8.8,8.25,-1,8.1,20121,1411180,Lab. de Programação I,121335,A,dsc
6.75,6.55,3.45,-1,7,20121,1411180,Lab. de Programação I,121145,A,dsc
4.2,6.4,2.5,3.5,4.5,20121,1411180,Lab. de Programação I,121155,R,dsc
3.73333333333,4.66666666667,6.13333333333,6.8,5.1,20121,1411180,Lab. de Programação I,121693,A,dsc
5.9,5.15,1.85,9.9,7,20121,1411180,Lab. de Programação I,121348,A,dsc
6.66666666667,7.4,8.13333333333,8.9,7.6,20121,1411180,Lab. de Programação I,121385,A,dsc
3.55,4,5.8,5.7,5,20121,1411180,Lab. de Programação I,121237,A,dsc
8.2,9.4,8.6,-1,8.6,20121,1411180,Lab. de Programação I,121314,A,dsc
3.7,0.5,4.35,-1,3.3,20121,1411180,Lab. de Programação I,121456,R,dsc
9.6,9.4,9.65,-1,9.6,20121,1411180,Lab. de Programação I,121371,A,dsc
9.2,6.1,8.65,-1,8.4,20121,1411180,Lab. de Programação I,121253,A,dsc
6.8,5.5,6.1,8.6,7.1,20121,1411180,Lab. de Programação I,121478,A,dsc
6.3,6.45,3.45,4.9,5.9,20121,1411180,Lab. de Programação I,121315,A,dsc
7.53333333333,7.23333333333,7.1,-1,7.6,20121,1411180,Lab. de Programação I,121631,A,dsc
6.05,7.2,8.15,-1,7.2,20121,1411180,Lab. de Programação I,121365,A,dsc
5.3,3.4,6,4.7,5.5,20121,1411180,Lab. de Programação I,111729,A,dsc
8,8.4,4.1,-1,7.8,20121,1411180,Lab. de Programação I,121162,A,dsc
1.5,5.2,3.85,-1,3.1,20121,1411180,Lab. de Programação I,121400,R,dsc
7.55,8.8,9.5,-1,8.6,20121,1411180,Lab. de Programação I,121289,A,dsc
6.55,6.3,2.9,4.3,5.5,20121,1411180,Lab. de Programação I,12177,A,dsc
7.25,6.65,3.35,-1,7.4,20121,1411180,Lab. de Programação I,121271,A,dsc
5.9,8.6,5.8,-1,7.1,20122,1411180,Lab. de Programação I,121248,A,dsc
7.4,7.3,8.3,-1,7.4,20122,1411180,Lab. de Programação I,122661,A,dsc
9.9,7.4,9.6,-1,8.7,20122,1411180,Lab. de Programação I,12229,A,dsc
1.2,4.4,6.6,4.8,5,20122,1411180,Lab. de Programação I,111355,A,dsc
9,6.2,8.6,-1,7.7,20122,1411180,Lab. de Programação I,122540,A,dsc
10,8.8,10,-1,9.5,20122,1411180,Lab. de Programação I,122344,A,dsc
3.3,4.1,5.5,-1,3.9,20122,1411180,Lab. de Programação I,122274,R,dsc
8.3,7.7,9.9,-1,8.8,20122,1411180,Lab. de Programação I,121668,A,dsc
5,4.2,1.3,-1,3,20122,1411180,Lab. de Programação I,12194,R,dsc
10,8.1,9.7,-1,9.1,20122,1411180,Lab. de Programação I,122660,A,dsc
10,9,10,-1,9.6,20122,1411180,Lab. de Programação I,122185,A,dsc
8.9,6.8,6.8,-1,7,20122,1411180,Lab. de Programação I,112501,A,dsc
5.9,5.8,4.1,4.4,5.2,20122,1411180,Lab. de Programação I,122796,A,dsc
7.2,8.7,10,-1,9.1,20122,1411180,Lab. de Programação I,12136,A,dsc
7.9,6,8.8,-1,7.5,20122,1411180,Lab. de Programação I,121342,A,dsc
9.5,8.4,9.2,-1,9,20122,1411180,Lab. de Programação I,122254,A,dsc
9,6.8,8.3,-1,7.9,20122,1411180,Lab. de Programação I,122176,A,dsc
3.1,5.6,8.4,4,4.5,20122,1411180,Lab. de Programação I,122676,R,dsc
7,7,8.3,-1,7.1,20122,1411180,Lab. de Programação I,122650,A,dsc
10,9.3,10,-1,9.7,20122,1411180,Lab. de Programação I,121172,A,dsc
10,8.8,10,-1,9.5,20122,1411180,Lab. de Programação I,122776,A,dsc
4,4.8,7.1,1.2,3.3,20122,1411180,Lab. de Programação I,122368,R,dsc
9.9,6.1,6.1,-1,7.8,20122,1411180,Lab. de Programação I,122300,A,dsc
1.1,4.2,2.9,-1,2.7,20122,1411180,Lab. de Programação I,122251,R,dsc
10,8.3,8.5,-1,9.1,20122,1411180,Lab. de Programação I,122313,A,dsc
10,7.6,8.5,-1,8.8,20122,1411180,Lab. de Programação I,122450,A,dsc
7,7,7.1,-1,7,20122,1411180,Lab. de Programação I,122257,A,dsc
7.7,7.9,6.9,-1,7.7,20122,1411180,Lab. de Programação I,122215,A,dsc
6.2,6.3,8.4,9.6,7.7,20122,1411180,Lab. de Programação I,122332,A,dsc
1.2,5.2,3,-1,3.2,20122,1411180,Lab. de Programação I,12298,R,dsc
9.9,8.7,9.6,-1,9.3,20122,1411180,Lab. de Programação I,122219,A,dsc
0.1,5.1,1.6,-1,2.5,20122,1411180,Lab. de Programação I,12219,R,dsc
9.8,7.3,8.1,-1,8.5,20122,1411180,Lab. de Programação I,122206,A,dsc
0.3,3.1,3.3,-1,1.9,20122,1411180,Lab. de Programação I,122311,R,dsc
8,7.3,7.1,-1,7.6,20122,1411180,Lab. de Programação I,122144,A,dsc
1.9,4,1.7,-1,2.8,20122,1411180,Lab. de Programação I,122118,R,dsc
1.1,3,0,-1,1.5,20122,1411180,Lab. de Programação I,121259,R,dsc
9.9,8.5,10,-1,9.3,20122,1411180,Lab. de Programação I,122295,A,dsc
9.1,7,7.3,-1,7.3,20122,1411180,Lab. de Programação I,112460,A,dsc
4.3,5,8.3,2,3.8,20122,1411180,Lab. de Programação I,12260,R,dsc
10,8.6,7.5,-1,9.1,20122,1411180,Lab. de Programação I,122761,A,dsc
9.9,8.7,8.9,-1,9.3,20122,1411180,Lab. de Programação I,122159,A,dsc
5.5,6.9,1.4,-1,2.6,20122,1411180,Lab. de Programação I,121516,R,dsc
8.4,7.5,8.5,-1,8,20122,1411180,Lab. de Programação I,12113,A,dsc
7,7,7,-1,7,20122,1411180,Lab. de Programação I,122402,A,dsc
2.2,4.9,9.1,2,3.3,20122,1411180,Lab. de Programação I,122134,R,dsc
9.8,8.7,9.6,-1,9.3,20122,1411180,Lab. de Programação I,122192,A,dsc
7,7,9.5,-1,7.3,20122,1411180,Lab. de Programação I,122416,A,dsc
8.8,8.2,8.5,-1,8.5,20122,1411180,Lab. de Programação I,122680,A,dsc
10,8.9,8.4,-1,9.3,20122,1411180,Lab. de Programação I,122327,A,dsc
10,8.8,9.3,-1,9.4,20122,1411180,Lab. de Programação I,122537,A,dsc
7.5,7.2,9,-1,7.5,20122,1411180,Lab. de Programação I,122502,A,dsc
8.7,5.8,9,-1,7.4,20122,1411180,Lab. de Programação I,12253,A,dsc
6,7.2,7.2,-1,7.1,20122,1411180,Lab. de Programação I,121428,A,dsc
9.9,8.8,7.3,-1,9.1,20122,1411180,Lab. de Programação I,122101,A,dsc
4.9,5.4,7.2,-1,3.2,20122,1411180,Lab. de Programação I,122741,R,dsc
2.4,5.7,2.2,-1,3.9,20122,1411180,Lab. de Programação I,122695,R,dsc
10,7.7,10,-1,9,20122,1411180,Lab. de Programação I,122614,A,dsc
7,6.5,9.3,-1,7,20122,1411180,Lab. de Programação I,122687,A,dsc
10,8.7,10,-1,9.4,20122,1411180,Lab. de Programação I,122107,A,dsc
5.4,5.8,3.6,2,4,20122,1411180,Lab. de Programação I,122152,R,dsc
9.6,9.6,9.6,-1,9.6,20122,1411180,Lab. de Programação I,12270,A,dsc
0,3.2,3.3,-1,1.8,20122,1411180,Lab. de Programação I,122512,R,dsc
10,10,10,-1,10,20122,1411180,Lab. de Programação I,122619,A,dsc
0.8,4.9,2.4,-1,3.4,20122,1411180,Lab. de Programação I,112191,R,dsc
9.6,8.2,10,-1,9.2,20122,1411180,Lab. de Programação I,121305,A,dsc
5.7,6.7,7.7,-1,7.1,20122,1411180,Lab. de Programação I,112659,A,dsc
3,4.6,2.4,-1,3.7,20122,1411180,Lab. de Programação I,1224,R,dsc
3.5,6,5.7,4,4.5,20122,1411180,Lab. de Programação I,122106,R,dsc
7.5,6.2,9.2,-1,7.1,20122,1411180,Lab. de Programação I,12232,A,dsc
0,6.4,3.1,-1,3.2,20122,1411180,Lab. de Programação I,122579,R,dsc
5.2,7.6,9,-1,8,20122,1411180,Lab. de Programação I,112500,A,dsc
0.6,5.1,2.8,-1,2.8,20122,1411180,Lab. de Programação I,122179,R,dsc
1,5.3,3.2,-1,3.2,20122,1411180,Lab. de Programação I,122551,R,dsc
8.1,7.2,7.7,-1,7.7,20122,1411180,Lab. de Programação I,122667,A,dsc
0.5,3.9,3.6,-1,2.3,20122,1411180,Lab. de Programação I,12221,R,dsc
7.9,7.2,9.9,-1,7.8,20122,1411180,Lab. de Programação I,122504,A,dsc
7,7,7.4,-1,7,20122,1411180,Lab. de Programação I,122487,A,dsc
10,8.3,10,-1,9.2,20122,1411180,Lab. de Programação I,12248,A,dsc
0,3.7,3,-1,2,20122,1411180,Lab. de Programação I,122494,R,dsc
9.7,6.4,9.2,-1,8,20122,1411180,Lab. de Programação I,121777,A,dsc
1.3,3.1,2.2,-1,2.2,20122,1411180,Lab. de Programação I,122265,R,dsc
5.8,5.5,8.6,3,4.7,20122,1411180,Lab. de Programação I,122571,R,dsc
5.9,5.8,5.3,6.8,6.2,20122,1411180,Lab. de Programação I,12286,A,dsc
4.5,5.6,5.8,3.6,4.5,20122,1411180,Lab. de Programação I,122652,R,dsc
7.8,8.5,8.2,-1,8.3,20122,1411180,Lab. de Programação I,121400,A,dsc
6.1,7.5,8.8,-1,7.9,20122,1411180,Lab. de Programação I,121155,A,dsc
2,6.4,6.4,6.8,5.4,20122,1411180,Lab. de Programação I,12256,A,dsc
7.4,7.5,8.2,-1,7.5,20122,1411180,Lab. de Programação I,122447,A,dsc
3.85,3.25,1.85,-1,2.7,20112,1411180,Lab. de Programação I,10274,R,dsc
7.5,8,1.6,3.8,5,20112,1411180,Lab. de Programação I,102723,A,dsc
6.6,7.3,1.9,4.5,5.2,20112,1411180,Lab. de Programação I,102284,A,dsc
4.55,4.35,3.35,-1,3.9,20112,1411180,Lab. de Programação I,111355,R,dsc
8.8,7.75,8.45,-1,8.4,20112,1411180,Lab. de Programação I,112573,A,dsc
6.7,7.9,6.95,-1,7.2,20112,1411180,Lab. de Programação I,112175,A,dsc
9.15,8.4,9.05,-1,8.9,20112,1411180,Lab. de Programação I,112760,A,dsc
7.6,7.2,2.2,5.1,5.9,20112,1411180,Lab. de Programação I,102124,A,dsc
7,6.8,7.4,-1,7.4,20112,1411180,Lab. de Programação I,112464,A,dsc
8.8,8.2,9,-1,8.7,20112,1411180,Lab. de Programação I,112529,A,dsc
1.6,6.45,6.8,6.8,6.2,20112,1411180,Lab. de Programação I,112580,A,dsc
7.05,4.1,6.05,8,6.7,20112,1411180,Lab. de Programação I,112702,A,dsc
6.95,8.5,7.1,-1,7.6,20112,1411180,Lab. de Programação I,112230,A,dsc
8.6,7.55,7.75,-1,7.8,20112,1411180,Lab. de Programação I,112638,A,dsc
5.2,6.9,9,-1,7.6,20112,1411180,Lab. de Programação I,112486,A,dsc
7.4,8.65,7.25,-1,7.8,20112,1411180,Lab. de Programação I,112751,A,dsc
8.35,7.85,7.45,-1,7.9,20112,1411180,Lab. de Programação I,112378,A,dsc
3.95,1.8,1.6,-1,2.6,20112,1411180,Lab. de Programação I,112501,R,dsc
2.25,1.5,4.15,-1,3.1,20112,1411180,Lab. de Programação I,112468,R,dsc
2.85,5.1,4.6,7.8,5.8,20112,1411180,Lab. de Programação I,112279,A,dsc
1.05,1.95,1.8,-1,1.6,20112,1411180,Lab. de Programação I,112659,R,dsc
4.3,6.05,6.1,9,7.1,20112,1411180,Lab. de Programação I,112135,A,dsc
1.3,0.9,3.3,-1,2.4,20112,1411180,Lab. de Programação I,112465,R,dsc
5,4.95,5.55,6.1,5.6,20112,1411180,Lab. de Programação I,112354,A,dsc
4.3,7.6,6.8,7.4,6.8,20112,1411180,Lab. de Programação I,112490,A,dsc
2.85,6.75,6.9,9.6,7.5,20112,1411180,Lab. de Programação I,112303,A,dsc
2.25,1,1.05,-1,1.4,20112,1411180,Lab. de Programação I,112424,R,dsc
6.15,8.5,7.7,-1,7.5,20112,1411180,Lab. de Programação I,112317,A,dsc
8.15,7.15,6.1,-1,7.1,20112,1411180,Lab. de Programação I,111689,A,dsc
6.8,4.9,3.8,8.3,6.7,20112,1411180,Lab. de Programação I,111582,A,dsc
8.7,8.75,8.5,-1,8.7,20112,1411180,Lab. de Programação I,102609,A,dsc
5.4,4.45,3.15,6.4,5,20112,1411180,Lab. de Programação I,102220,A,dsc
7.75,6.8,6.15,-1,7.7,20112,1411180,Lab. de Programação I,111198,A,dsc
5.05,3.95,3.5,-1,3.8,20112,1411180,Lab. de Programação I,112720,R,dsc
2.35,6.25,4.55,7.1,5.6,20112,1411180,Lab. de Programação I,112626,A,dsc
0.8,0.9,1.9,-1,1.4,20112,1411180,Lab. de Programação I,112460,R,dsc
9.65,9.15,8.45,-1,9.1,20112,1411180,Lab. de Programação I,112438,A,dsc
8.45,9.1,8.15,-1,8.5,20112,1411180,Lab. de Programação I,112645,A,dsc
1.75,0.9,2.35,-1,1.7,20112,1411180,Lab. de Programação I,112717,R,dsc
5.8,5.75,7.45,8.5,7.2,20112,1411180,Lab. de Programação I,112784,A,dsc
4.3,5.5,6.7,8.9,7.1,20112,1411180,Lab. de Programação I,112733,A,dsc
4.7,6.35,8.05,8.8,7.5,20112,1411180,Lab. de Programação I,112697,A,dsc
5.5,7.6,7.9,-1,7.2,20112,1411180,Lab. de Programação I,11254,A,dsc
3.15,0.8,3.55,-1,2.5,20112,1411180,Lab. de Programação I,112718,R,dsc
6.45,9.1,8.55,-1,7.7,20112,1411180,Lab. de Programação I,11240,A,dsc
5.35,1.4,4.9,4.8,4.3,20112,1411180,Lab. de Programação I,112734,R,dsc
3.25,4.1,4.1,-1,3.4,20112,1411180,Lab. de Programação I,11192,R,dsc
3.35,3.75,4,-1,3.3,20112,1411180,Lab. de Programação I,10252,R,dsc
1.55,2.75,3.5,-1,2.9,20112,1411180,Lab. de Programação I,112683,R,dsc
8.5,8,8,-1,8.2,20112,1411180,Lab. de Programação I,11285,A,dsc
3.25,2.35,3.55,-1,3.4,20112,1411180,Lab. de Programação I,11282,R,dsc
7.1,4.5,8.15,-1,7.2,20112,1411180,Lab. de Programação I,112283,A,dsc
9.2,7.6,8.8,-1,8.5,20112,1411180,Lab. de Programação I,112566,A,dsc
7.6,8.7,6.5,-1,7.3,20112,1411180,Lab. de Programação I,112346,A,dsc
8.85,9.05,8.45,-1,8.7,20112,1411180,Lab. de Programação I,112604,A,dsc
2.45,0,3.2,-1,2.1,20112,1411180,Lab. de Programação I,112399,R,dsc
3.1,8.1,7.35,7.6,6.8,20112,1411180,Lab. de Programação I,112171,A,dsc
8.35,7.8,8.5,-1,8.3,20112,1411180,Lab. de Programação I,112564,A,dsc
7.1,8.6,8.9,-1,8.3,20112,1411180,Lab. de Programação I,112287,A,dsc
7.05,5.85,5.2,4.6,5.6,20112,1411180,Lab. de Programação I,111395,A,dsc
5.1,4.2,3.4,6.5,5,20112,1411180,Lab. de Programação I,102596,A,dsc
7.2,8.35,6.85,7,6.6,20112,1411180,Lab. de Programação I,111263,A,dsc
5.55,7.5,8.25,-1,7.2,20112,1411180,Lab. de Programação I,112201,A,dsc
7.05,6.8,9.55,-1,8.1,20112,1411180,Lab. de Programação I,112434,A,dsc
3.6,4,0.45,-1,2.5,20112,1411180,Lab. de Programação I,11146,R,dsc
9.65,9.1,8.65,-1,9.2,20112,1411180,Lab. de Programação I,112679,A,dsc
5.4,7.3,6.25,8.1,6.4,20112,1411180,Lab. de Programação I,112103,A,dsc
3.75,8.1,9.05,-1,7.5,20112,1411180,Lab. de Programação I,112381,A,dsc
0.45,0.65,1.45,-1,0.9,20112,1411180,Lab. de Programação I,112191,R,dsc
1.95,1.05,0.9,-1,1.3,20112,1411180,Lab. de Programação I,102141,R,dsc
5.3,4.2,5.55,7.4,6,20112,1411180,Lab. de Programação I,112130,A,dsc
5.2,4.3,5.6,8.5,6.2,20112,1411180,Lab. de Programação I,112388,A,dsc
5.05,7,8.85,-1,7.2,20112,1411180,Lab. de Programação I,112527,A,dsc
3.1,3.6,1.4,-1,2.7,20112,1411180,Lab. de Programação I,112500,R,dsc
4.3,5,5.55,6.4,5.6,20112,1411180,Lab. de Programação I,112624,A,dsc
6.15,5.7,5.3,5.4,5.8,20112,1411180,Lab. de Programação I,112785,A,dsc
8.3,9,8.65,-1,8.7,20112,1411180,Lab. de Programação I,112497,A,dsc
5.95,6.5,8.55,-1,7.6,20112,1411180,Lab. de Programação I,112290,A,dsc
8.9,8.05,7.85,-1,8.7,20112,1411180,Lab. de Programação I,111630,A,dsc
7.2,8.65,7.5,-1,7.8,20112,1411180,Lab. de Programação I,112578,A,dsc
8.55,9.2,9.8,-1,9.1,20112,1411180,Lab. de Programação I,1123,A,dsc
3.55,6.75,6.25,8.6,6.5,20112,1411180,Lab. de Programação I,112116,A,dsc
7.45,7.6,6.5,7.3,7.1,20112,1411180,Lab. de Programação I,112389,A,dsc
8.6,9.1,8.95,-1,8.7,20112,1411180,Lab. de Programação I,102598,A,dsc
2.35,1.7,3.75,-1,3,20112,1411180,Lab. de Programação I,111729,R,dsc
4.5,2.95,4.25,3.8,3.9,20112,1411180,Lab. de Programação I,112232,R,dsc
8,8.4,8.25,-1,8.3,20112,1411180,Lab. de Programação I,112122,A,dsc
4.15,8.6,5.9,8.3,7,20112,1411180,Lab. de Programação I,112616,A,dsc
4.3,7.4,6.6,9.3,7.2,20112,1411180,Lab. de Programação I,112347,A,dsc
7.8,9.6,7.85,-1,8.4,20112,1411180,Lab. de Programação I,112515,A,dsc
8.1,7.8,5.9,-1,7.2,20112,1411180,Lab. de Programação I,111431,A,dsc
8.95,7.5,7.95,-1,8.2,20112,1411180,Lab. de Programação I,112639,A,dsc
6.65,8.4,6.55,-1,7,20112,1411180,Lab. de Programação I,112167,A,dsc
7.5,9,8.3,-1,8.3,20111,1411170,Teoria dos Grafos,102276,A,dsc
6.5,7,7.3,8,7.3,20111,1411170,Teoria dos Grafos,102268,A,dsc
7.5,8.5,8,-1,8,20111,1411170,Teoria dos Grafos,102672,A,dsc
4,9.8,5,2.1,5,20111,1411170,Teoria dos Grafos,10243,A,dsc
5.5,10,7.8,-1,7.8,20111,1411170,Teoria dos Grafos,102763,A,dsc
7.5,8.5,8,-1,8,20111,1411170,Teoria dos Grafos,102320,A,dsc
8,7,7.5,-1,7.5,20111,1411170,Teoria dos Grafos,102235,A,dsc
8.5,9.2,8.9,-1,8.9,20111,1411170,Teoria dos Grafos,101505,A,dsc
8.7,9.3,9,-1,9,20111,1411170,Teoria dos Grafos,1012,A,dsc
8.5,9,8.8,-1,8.8,20111,1411170,Teoria dos Grafos,102775,A,dsc
6.5,4,4.3,2.8,4.3,20111,1411170,Teoria dos Grafos,101260,R,dsc
8,7,7.5,-1,7.5,20111,1411170,Teoria dos Grafos,102595,A,dsc
8,9.3,8.7,-1,8.7,20111,1411170,Teoria dos Grafos,102181,A,dsc
5.5,8.5,7,-1,7,20111,1411170,Teoria dos Grafos,102707,A,dsc
10,10,10,-1,10,20111,1411170,Teoria dos Grafos,101615,A,dsc
4.5,9.8,7.2,-1,7.2,20111,1411170,Teoria dos Grafos,102570,A,dsc
6,8.5,7.3,-1,7.3,20111,1411170,Teoria dos Grafos,101627,A,dsc
7.5,9,8.3,-1,8.3,20111,1411170,Teoria dos Grafos,102208,A,dsc
