"nota1","nota2","nota3","final","media","periodo","coddisciplina","disciplina","matricula","situacao","vez","departamento"
3,4.5,5,0,2.5,20112,1108089,Fundamentos de Física Clássica,102151,R,1,dme
0.2,4,2.5,-1,2.2,20121,1108089,Fundamentos de Física Clássica,102422,R,2,dme
4.2,6.4,1.8,6.5,5.1,20122,1108089,Fundamentos de Física Clássica,102422,A,3,dme
5,5.5,4,2,3.7,20112,1108089,Fundamentos de Física Clássica,102422,R,1,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,102276,R,2,dme
5,1,3.5,-1,3.2,20112,1108089,Fundamentos de Física Clássica,102276,R,1,dme
6,9,6,-1,7,20122,1108089,Fundamentos de Física Clássica,102181,A,2,dme
4,4,4,2.5,3.4,20112,1108089,Fundamentos de Física Clássica,102181,R,1,dme
4.5,3,4.5,1.5,3,20111,1108089,Fundamentos de Física Clássica,102403,R,1,dme
4,4,4,4,4,20121,1108089,Fundamentos de Física Clássica,102403,R,3,dme
8,6.8,8.6,-1,7.8,20122,1108089,Fundamentos de Física Clássica,102403,A,4,dme
3.5,3,6,1.5,3.1,20112,1108089,Fundamentos de Física Clássica,102403,R,2,dme
0,0.1,0,-1,0,20121,1108089,Fundamentos de Física Clássica,102609,R,2,dme
4.5,1,3,-1,2.8,20112,1108089,Fundamentos de Física Clássica,102609,R,1,dme
0,0.1,0,-1,0,20121,1108089,Fundamentos de Física Clássica,102483,R,1,dme
3,4.3,1.5,-1,2.9,20122,1108089,Fundamentos de Física Clássica,102483,R,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,102795,R,2,dme
6.5,0,4.5,-1,3.7,20112,1108089,Fundamentos de Física Clássica,102795,R,1,dme
2.7,3,1,-1,2.2,20111,1108089,Fundamentos de Física Clássica,102476,R,1,dme
2.5,1,4,-1,2.5,20112,1108089,Fundamentos de Física Clássica,102476,R,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,102699,R,1,dme
4.5,4,3.5,-1,2.4,20122,1108089,Fundamentos de Física Clássica,102699,R,2,dme
0,0.1,0,-1,0,20121,1108089,Fundamentos de Física Clássica,102723,R,2,dme
5.5,1,3.5,-1,3.3,20112,1108089,Fundamentos de Física Clássica,102723,R,1,dme
4.5,3.5,4,4.5,4.2,20111,1108089,Fundamentos de Física Clássica,102326,R,1,dme
6.5,4,4.5,5,5,20121,1108089,Fundamentos de Física Clássica,102326,A,3,dme
4,5,5.5,3,4.1,20112,1108089,Fundamentos de Física Clássica,102326,R,2,dme
3.5,0,0,-1,1.2,20111,1108089,Fundamentos de Física Clássica,10243,R,1,dme
0,1,0,-1,0.3,20112,1108089,Fundamentos de Física Clássica,10243,R,2,dme
7,4.5,0,-1,3.8,20111,1108089,Fundamentos de Física Clássica,102726,R,1,dme
2.5,5,6.5,6,5.2,20112,1108089,Fundamentos de Física Clássica,102726,A,2,dme
0,7,2,-1,3,20121,1108089,Fundamentos de Física Clássica,111312,R,1,dme
6,9,6,-1,7,20122,1108089,Fundamentos de Física Clássica,111312,A,2,dme
1,4,2.2,-1,2.4,20121,1108089,Fundamentos de Física Clássica,111359,R,1,dme
7,5.9,6.3,6.3,6.4,20122,1108089,Fundamentos de Física Clássica,111359,A,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,11167,R,1,dme
7.5,2.5,4,3,4,20122,1108089,Fundamentos de Física Clássica,11167,R,2,dme
0,0,0.3,-1,0.1,20121,1108089,Fundamentos de Física Clássica,111532,R,1,dme
4,2,3,-1,3,20122,1108089,Fundamentos de Física Clássica,111532,R,2,dme
0,0.8,0,-1,0.3,20121,1108089,Fundamentos de Física Clássica,11191,R,2,dme
9,8.8,5.9,-1,7.9,20122,1108089,Fundamentos de Física Clássica,11191,A,3,dme
2.5,0,0,-1,0.8,20112,1108089,Fundamentos de Física Clássica,11191,R,1,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,111123,R,1,dme
7.5,6.6,7.5,-1,7.2,20122,1108089,Fundamentos de Física Clássica,111123,A,2,dme
1.5,0.1,0,-1,0.5,20121,1108089,Fundamentos de Física Clássica,11137,R,2,dme
9,8.8,5.9,-1,7.9,20122,1108089,Fundamentos de Física Clássica,11137,A,3,dme
3.5,3.5,5,3.5,3.8,20112,1108089,Fundamentos de Física Clássica,11137,R,1,dme
4.5,4.5,4.5,4.5,4.5,20121,1108089,Fundamentos de Física Clássica,111606,R,1,dme
8,6.8,8.6,-1,7.8,20122,1108089,Fundamentos de Física Clássica,111606,A,2,dme
0.5,0.2,0,-1,0.2,20121,1108089,Fundamentos de Física Clássica,111382,R,1,dme
9,8,5.9,-1,7.6,20122,1108089,Fundamentos de Física Clássica,111382,A,2,dme
1,3.2,3.2,-1,2.5,20121,1108089,Fundamentos de Física Clássica,111213,R,1,dme
6.5,6.5,3.9,7.9,6.5,20122,1108089,Fundamentos de Física Clássica,111213,A,2,dme
0,2,0,-1,0.7,20111,1108089,Fundamentos de Física Clássica,111412,R,1,dme
2.5,7,5,6.5,5.5,20112,1108089,Fundamentos de Física Clássica,111412,A,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,11155,R,1,dme
7.5,2.5,4,2.1,3.7,20122,1108089,Fundamentos de Física Clássica,11155,R,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,111186,R,1,dme
6.5,10,4.4,-1,7,20122,1108089,Fundamentos de Física Clássica,111186,A,2,dme
0,5,2.5,-1,2.5,20121,1108089,Fundamentos de Física Clássica,111653,R,1,dme
6.5,6.5,3.9,8,6.6,20122,1108089,Fundamentos de Física Clássica,111653,A,2,dme
7.2,6.1,3.5,5,5.4,20121,1108089,Fundamentos de Física Clássica,111458,A,2,dme
3.5,1,5.5,-1,3.3,20112,1108089,Fundamentos de Física Clássica,111458,R,1,dme
0,3.5,0,-1,1.2,20121,1108089,Fundamentos de Física Clássica,111477,R,1,dme
6.5,6.5,3.9,4.8,5.3,20122,1108089,Fundamentos de Física Clássica,111477,A,2,dme
1,0,0,-1,0.3,20121,1108089,Fundamentos de Física Clássica,111379,R,2,dme
2.5,0,0,-1,0.8,20112,1108089,Fundamentos de Física Clássica,111379,R,1,dme
6.2,5,3,3.5,4.2,20111,1108089,Fundamentos de Física Clássica,111233,R,1,dme
6,5,6.5,4.5,5.3,20112,1108089,Fundamentos de Física Clássica,111233,A,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,111413,R,1,dme
7,5.9,6.3,0,3.8,20122,1108089,Fundamentos de Física Clássica,111413,R,2,dme
0.2,7,1.5,-1,2.9,20121,1108089,Fundamentos de Física Clássica,111147,R,1,dme
8,6.8,8.6,-1,7.8,20122,1108089,Fundamentos de Física Clássica,111147,A,2,dme
0.1,3.5,1.5,-1,1.7,20121,1108089,Fundamentos de Física Clássica,112760,R,1,dme
9,5.9,7.5,-1,7.5,20122,1108089,Fundamentos de Física Clássica,112760,A,2,dme
7.5,5.6,2.5,5,5.1,20121,1108089,Fundamentos de Física Clássica,112576,A,2,dme
5.5,1.5,6,3.5,4,20112,1108089,Fundamentos de Física Clássica,112576,R,1,dme
2.3,4.8,3,-1,3.4,20121,1108089,Fundamentos de Física Clássica,112751,R,1,dme
3.5,4.3,7,3.6,4.4,20122,1108089,Fundamentos de Física Clássica,112751,R,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,11240,R,1,dme
9.5,5.9,6.6,-1,7.3,20122,1108089,Fundamentos de Física Clássica,11240,A,2,dme
0,0.1,0,-1,0,20121,1108089,Fundamentos de Física Clássica,112564,R,1,dme
3,4.5,6,4,4.3,20122,1108089,Fundamentos de Física Clássica,112564,R,2,dme
0,0.3,0,-1,0.1,20121,1108089,Fundamentos de Física Clássica,112645,R,1,dme
9,5.9,7.5,-1,7.5,20122,1108089,Fundamentos de Física Clássica,112645,A,2,dme
0,2.5,0,-1,0.8,20121,1108089,Fundamentos de Física Clássica,112388,R,1,dme
7,10,6.8,-1,7.9,20122,1108089,Fundamentos de Física Clássica,112388,A,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,112122,R,1,dme
10,8.5,9.1,-1,9.2,20122,1108089,Fundamentos de Física Clássica,112122,A,2,dme
1.5,0.3,2,-1,1.3,20121,1108089,Fundamentos de Física Clássica,112529,R,1,dme
10,8.5,9.1,-1,9.2,20122,1108089,Fundamentos de Física Clássica,112529,A,2,dme
0,1.5,0,-1,0.5,20121,1108089,Fundamentos de Física Clássica,112721,R,1,dme
5.1,3.3,3.5,5,4.4,20122,1108089,Fundamentos de Física Clássica,112721,R,2,dme
0.2,0,0,-1,0.1,20121,1108089,Fundamentos de Física Clássica,112497,R,1,dme
9.5,5.9,6.6,-1,7.3,20122,1108089,Fundamentos de Física Clássica,112497,A,2,dme
0,1.6,0,-1,0.5,20121,1108089,Fundamentos de Física Clássica,121407,R,1,dme
4.5,3.5,1,-1,3,20122,1108089,Fundamentos de Física Clássica,121407,R,2,dme
0,2.5,2.5,-1,1.7,20121,1108089,Fundamentos de Física Clássica,121454,R,1,dme
4,2,3.5,-1,3.2,20122,1108089,Fundamentos de Física Clássica,121454,R,2,dme
5,5,6,0,3.2,20121,1108090,Fundamentos de Física Moderna,091623,R,1,dme
9,10,10,-1,9.7,20122,1108090,Fundamentos de Física Moderna,091623,A,2,dme
0,0,4,-1,1.3,20121,1108090,Fundamentos de Física Moderna,121394,R,1,dme
9,10,10,-1,9.7,20122,1108090,Fundamentos de Física Moderna,121394,A,2,dme
0.5,0.8,0,-1,0.4,20111,1109035,Álgebra Vetorial e Geometria Analítica,101260,R,1,dme
5.8,7,9,-1,7.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,101260,A,2,dme
4,2,4,-1,3.3,20111,1109035,Álgebra Vetorial e Geometria Analítica,102113,R,1,dme
8.9,3.5,0,-1,2.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,102113,R,2,dme
5.5,3,8,7,6.1,20121,1109035,Álgebra Vetorial e Geometria Analítica,102409,A,2,dme
6.5,2.5,0,-1,3,20112,1109035,Álgebra Vetorial e Geometria Analítica,102409,R,1,dme
0,2.5,0,-1,0.8,20111,1109035,Álgebra Vetorial e Geometria Analítica,102596,R,1,dme
1,9.7,7.6,6.5,6.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,102596,A,2,dme
5,3,0,-1,2.7,20111,1109035,Álgebra Vetorial e Geometria Analítica,102189,R,1,dme
3,2,7,7,5.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,102189,A,2,dme
6.5,4,2,1,2.9,20111,1109035,Álgebra Vetorial e Geometria Analítica,102376,R,1,dme
6,7.3,7,6.5,6.7,20112,1109035,Álgebra Vetorial e Geometria Analítica,102376,A,2,dme
3.5,1,4,-1,2.8,20111,1109035,Álgebra Vetorial e Geometria Analítica,102744,R,1,dme
0,1,3,-1,1.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,102744,R,2,dme
0,3,0.5,-1,1.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,102672,R,1,dme
3,6,0,-1,3,20121,1109035,Álgebra Vetorial e Geometria Analítica,102672,R,2,dme
1,0.5,0,-1,0.5,20111,1109035,Álgebra Vetorial e Geometria Analítica,102740,R,1,dme
5.3,8.7,5.8,6.5,6.6,20112,1109035,Álgebra Vetorial e Geometria Analítica,102740,A,2,dme
2.5,2.5,0,-1,1.7,20111,1109035,Álgebra Vetorial e Geometria Analítica,102699,R,1,dme
8.6,2.5,10,-1,7,20112,1109035,Álgebra Vetorial e Geometria Analítica,102699,A,2,dme
5.5,2,2,-1,3.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,102666,R,1,dme
8,5,1,6,5.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,102666,A,2,dme
0,0,0,-1,0,20111,1109035,Álgebra Vetorial e Geometria Analítica,102664,R,1,dme
8,7.5,4,3.5,5.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,102664,A,2,dme
2.3,2.7,1.5,-1,2.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,102598,R,1,dme
2.5,5,9.5,6.5,6,20112,1109035,Álgebra Vetorial e Geometria Analítica,102598,A,2,dme
0,0.5,0,-1,0.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,102489,R,1,dme
6.3,10,6,-1,7.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,102489,A,2,dme
0.5,0,0,-1,0.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,102124,R,1,dme
6.1,2,6,5.5,5,20112,1109035,Álgebra Vetorial e Geometria Analítica,102124,A,2,dme
0.5,2.5,0,-1,1,20111,1109035,Álgebra Vetorial e Geometria Analítica,102309,R,1,dme
6.3,9.5,7,-1,7.6,20112,1109035,Álgebra Vetorial e Geometria Analítica,102309,A,2,dme
3.5,7.5,2,4,4.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,102621,R,2,dme
3,5,0.5,-1,2.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,102621,R,1,dme
2,4.2,5.8,3.7,3.9,20111,1109035,Álgebra Vetorial e Geometria Analítica,111359,R,1,dme
9.5,8.2,3.5,-1,7.1,20112,1109035,Álgebra Vetorial e Geometria Analítica,111359,A,2,dme
5.5,2.3,2.5,-1,3.4,20111,1109035,Álgebra Vetorial e Geometria Analítica,111194,R,1,dme
3.6,8,3,3.7,4.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,111194,R,2,dme
2.5,0.5,3.3,-1,2.1,20111,1109035,Álgebra Vetorial e Geometria Analítica,111129,R,1,dme
7.6,6.5,8,-1,7.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,111129,A,2,dme
0.5,0.5,2,-1,1,20111,1109035,Álgebra Vetorial e Geometria Analítica,111255,R,1,dme
2.9,9.8,7,5.5,6.2,20112,1109035,Álgebra Vetorial e Geometria Analítica,111255,A,2,dme
0.5,0.5,0,-1,0.3,20111,1109035,Álgebra Vetorial e Geometria Analítica,111435,R,1,dme
5.1,4.5,0,-1,3.2,20112,1109035,Álgebra Vetorial e Geometria Analítica,111435,R,2,dme
5.2,9.5,5,-1,4,20111,1109035,Álgebra Vetorial e Geometria Analítica,111324,R,1,dme
6.1,9.8,9,-1,8.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,111324,A,2,dme
2.5,4,5.5,2.8,3.5,20111,1109035,Álgebra Vetorial e Geometria Analítica,111532,R,1,dme
9.2,8.5,4.5,-1,7.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,111532,A,2,dme
0.5,0,0,-1,0.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,111150,R,1,dme
0,0,1.5,-1,0.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,111150,R,2,dme
2.5,4,1,-1,2.5,20111,1109035,Álgebra Vetorial e Geometria Analítica,111353,R,1,dme
3.1,4.5,0,-1,2.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,111353,R,2,dme
1.5,3.5,0.5,-1,1.8,20111,1109035,Álgebra Vetorial e Geometria Analítica,111606,R,1,dme
8.9,10,7,-1,8.6,20112,1109035,Álgebra Vetorial e Geometria Analítica,111606,A,2,dme
0.5,0.5,0,-1,0.3,20111,1109035,Álgebra Vetorial e Geometria Analítica,111582,R,1,dme
4.3,5,5.5,5.5,5.1,20112,1109035,Álgebra Vetorial e Geometria Analítica,111582,A,2,dme
6,5.1,0.9,-1,2.4,20111,1109035,Álgebra Vetorial e Geometria Analítica,111689,R,1,dme
5.9,4,0,-1,3.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,111689,R,2,dme
2.5,4.5,0.7,-1,2.6,20111,1109035,Álgebra Vetorial e Geometria Analítica,111213,R,1,dme
5,5.5,6.5,6.5,6,20112,1109035,Álgebra Vetorial e Geometria Analítica,111213,A,2,dme
2,2.2,2.2,-1,2.1,20111,1109035,Álgebra Vetorial e Geometria Analítica,111198,R,1,dme
2.1,1,0,-1,1,20112,1109035,Álgebra Vetorial e Geometria Analítica,111198,R,2,dme
2.6,3,4,-1,3.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,111186,R,1,dme
7.2,5.5,5.5,5.4,5.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,111186,A,2,dme
2.5,3,0,-1,1.8,20111,1109035,Álgebra Vetorial e Geometria Analítica,111258,R,1,dme
7.1,8.8,8,-1,8,20122,1109035,Álgebra Vetorial e Geometria Analítica,111258,A,3,dme
3.7,2,0,-1,1.9,20112,1109035,Álgebra Vetorial e Geometria Analítica,111258,R,2,dme
2.5,4.3,3.5,-1,3.4,20111,1109035,Álgebra Vetorial e Geometria Analítica,111263,R,1,dme
3,9.7,6.5,3.3,5.2,20112,1109035,Álgebra Vetorial e Geometria Analítica,111263,A,2,dme
0.5,0,0,-1,0.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,111395,R,1,dme
1.5,2.5,2,-1,2,20121,1109035,Álgebra Vetorial e Geometria Analítica,111395,R,3,dme
0,1.5,0,-1,0.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,111395,R,2,dme
1.5,2,2,-1,1.8,20111,1109035,Álgebra Vetorial e Geometria Analítica,11161,R,1,dme
4.4,2.5,0.5,-1,2.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,11161,R,2,dme
8.5,2.5,1.5,2.5,3.5,20111,1109035,Álgebra Vetorial e Geometria Analítica,111477,R,1,dme
7.7,10,3.3,-1,7,20112,1109035,Álgebra Vetorial e Geometria Analítica,111477,A,2,dme
0.5,0.5,0,-1,0.3,20111,1109035,Álgebra Vetorial e Geometria Analítica,111355,R,1,dme
9.5,6,5.5,-1,7,20112,1109035,Álgebra Vetorial e Geometria Analítica,111355,A,2,dme
3,5,1,-1,3,20111,1109035,Álgebra Vetorial e Geometria Analítica,111431,R,1,dme
6.1,3.5,2.5,0.8,2.7,20112,1109035,Álgebra Vetorial e Geometria Analítica,111431,R,2,dme
2,3,4.5,-1,3.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,11146,R,1,dme
7,4,10,-1,7,20112,1109035,Álgebra Vetorial e Geometria Analítica,11146,A,2,dme
3.5,2,1,-1,2.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,111630,R,1,dme
4.5,5,7.5,6.2,5.9,20122,1109035,Álgebra Vetorial e Geometria Analítica,111630,A,3,dme
5.5,2,4.5,1.3,2.9,20112,1109035,Álgebra Vetorial e Geometria Analítica,111630,R,2,dme
0.5,1,0,-1,0.5,20122,1109035,Álgebra Vetorial e Geometria Analítica,112683,R,2,dme
0.8,0.5,0,-1,0.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,112683,R,1,dme
1,7.3,0,-1,2.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,112200,R,2,dme
8.3,7,0,3.5,4.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,112200,R,1,dme
5.3,5.5,5.6,5,5.3,20121,1109035,Álgebra Vetorial e Geometria Analítica,112378,A,2,dme
0.5,0.5,0.5,-1,0.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,112378,R,1,dme
7,1,0.5,-1,2.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,112702,R,2,dme
6,6,5,5,5.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,112702,A,3,dme
0,4.5,2.9,-1,2.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,112702,R,1,dme
0,1.5,0,-1,0.5,20121,1109035,Álgebra Vetorial e Geometria Analítica,112718,R,2,dme
7,3,5.7,2,3.9,20112,1109035,Álgebra Vetorial e Geometria Analítica,112718,R,1,dme
1,5.2,3.5,-1,3.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,112283,R,2,dme
6.5,5,5,7.5,6.3,20122,1109035,Álgebra Vetorial e Geometria Analítica,112283,A,3,dme
3.5,2.5,5.5,-1,3.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,112283,R,1,dme
6,1.7,4.3,5,4.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,112566,R,2,dme
3.5,2,0,-1,1.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,112566,R,1,dme
4,2.5,0,-1,2.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,112130,R,2,dme
4.5,3.7,5.3,6.8,5.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,112130,A,3,dme
5.2,2.8,0.5,-1,2.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,112130,R,1,dme
3.7,0,0,-1,1.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,112578,R,2,dme
2,3.5,0,-1,1.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,112578,R,1,dme
6.5,8.5,7,-1,7.3,20121,1109035,Álgebra Vetorial e Geometria Analítica,112389,A,2,dme
4.4,2.7,3,-1,3.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,112389,R,1,dme
2,0,3.5,-1,1.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,11282,R,2,dme
4,2,1.8,-1,2.6,20112,1109035,Álgebra Vetorial e Geometria Analítica,11282,R,1,dme
8,4.5,6.2,5.7,6,20121,1109035,Álgebra Vetorial e Geometria Analítica,112434,A,2,dme
1,1,0,-1,0.7,20112,1109035,Álgebra Vetorial e Geometria Analítica,112434,R,1,dme
3,1,1.5,-1,1.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,112490,R,2,dme
5,2.5,0.5,-1,2.7,20112,1109035,Álgebra Vetorial e Geometria Analítica,112490,R,1,dme
7,4.6,1,1,2.9,20121,1109035,Álgebra Vetorial e Geometria Analítica,112303,R,2,dme
6.5,7,4,5.9,5.8,20122,1109035,Álgebra Vetorial e Geometria Analítica,112303,A,3,dme
2.5,5.5,4,1.5,3,20112,1109035,Álgebra Vetorial e Geometria Analítica,112303,R,1,dme
5.5,0.5,1.5,-1,2.5,20121,1109035,Álgebra Vetorial e Geometria Analítica,112465,R,2,dme
2,0.5,0,-1,0.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,112465,R,1,dme
3.5,4.8,4.8,4.5,4.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,112287,R,2,dme
1,2.5,0,-1,1.2,20112,1109035,Álgebra Vetorial e Geometria Analítica,112287,R,1,dme
7.5,7,4.9,4.2,5.6,20121,1109035,Álgebra Vetorial e Geometria Analítica,112785,A,2,dme
1,2.5,6.7,-1,3.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,112785,R,1,dme
2.5,7,2.8,-1,2.5,20121,1109035,Álgebra Vetorial e Geometria Analítica,121250,R,1,dme
7.7,8.5,2,-1,3.7,20122,1109035,Álgebra Vetorial e Geometria Analítica,121250,R,2,dme
7.5,3,4.5,2,3.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,121777,R,1,dme
8,5.7,7.3,-1,7,20122,1109035,Álgebra Vetorial e Geometria Analítica,121777,A,2,dme
3.5,8.3,5.8,1,3.9,20121,1109035,Álgebra Vetorial e Geometria Analítica,12136,R,1,dme
7.8,1.5,4.6,5.7,5,20122,1109035,Álgebra Vetorial e Geometria Analítica,12136,A,2,dme
2.5,0,0,-1,0.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,121261,R,1,dme
6.1,1,1.5,-1,2.9,20122,1109035,Álgebra Vetorial e Geometria Analítica,121261,R,2,dme
4.5,4.5,5.8,3.5,4.3,20121,1109035,Álgebra Vetorial e Geometria Analítica,121516,R,1,dme
8.3,7.3,6.1,-1,7.2,20122,1109035,Álgebra Vetorial e Geometria Analítica,121516,A,2,dme
0,0,2.5,-1,0.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,121237,R,1,dme
3.3,6.5,7,4.5,5.2,20122,1109035,Álgebra Vetorial e Geometria Analítica,121237,A,2,dme
0,1,0,-1,0.3,20121,1109035,Álgebra Vetorial e Geometria Analítica,12194,R,1,dme
1,4.5,3,-1,2.8,20122,1109035,Álgebra Vetorial e Geometria Analítica,12194,R,2,dme
4.5,6.3,1.2,3,3.6,20121,1109035,Álgebra Vetorial e Geometria Analítica,12139,R,1,dme
6.3,4.2,6,-1,3.3,20122,1109035,Álgebra Vetorial e Geometria Analítica,12139,R,2,dme
0,5.5,1,-1,2.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,121428,R,1,dme
3,7,2,5,4.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,121428,R,2,dme
3.5,0,0,-1,1.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,121743,R,1,dme
3.2,3.5,2.5,-1,3.1,20122,1109035,Álgebra Vetorial e Geometria Analítica,121743,R,2,dme
4,4,5.3,3.5,4,20121,1109035,Álgebra Vetorial e Geometria Analítica,121440,R,1,dme
5.6,5.9,9.5,-1,7,20122,1109035,Álgebra Vetorial e Geometria Analítica,121440,A,2,dme
4.5,2,0.5,-1,2.3,20121,1109035,Álgebra Vetorial e Geometria Analítica,121316,R,1,dme
5,2.3,3,-1,3.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,121316,R,2,dme
0,0.5,0,-1,0.2,20111,1109049,Álgebra Linear,091472,R,1,dme
3,1,4.5,-1,2.8,20112,1109049,Álgebra Linear,091472,R,2,dme
4.3,0,2.5,-1,2.3,20121,1109049,Álgebra Linear,091730,R,1,dme
3.5,2.6,3,-1,3,20122,1109049,Álgebra Linear,091730,R,2,dme
7,8.8,3.7,4.3,5.6,20121,1109049,Álgebra Linear,092238,A,2,dme
2,2,4,-1,2.7,20112,1109049,Álgebra Linear,092238,R,1,dme
