matricula,Projeto em Computação II,Álgebra Linear,Álgebra Vetorial e Geometria Analítica,Análise e Técnicas de Algoritmos,Avaliação de Desempenho de Sistemas Discretos,Banco de Dados I,Banco de Dados II,Cálculo Diferencial e Integral I,Cálculo Diferencial e Integral II,Compiladores,Direito e Cidadania,Engenharia de Software I,Estruturas de Dados e Algoritmos,Fundamentos de Física Clássica,Fundamentos de Física Moderna,Gerência da Informação,Informática e Sociedade,Inteligência Artificial I,Interconexão de Redes de Computadores,Introdução à Computação,Lab. de Engenharia de Software,Lab. de Estruturas de Dados e Algoritmos,Lab. de Interconexão de Redes de Computadores,Lab. de Organização e Arquitetura de Computadores,Lab. de Programação I,Lab. de Programação II,Leitura e Produção de Textos,Lógica Matemática,Matemática Discreta,Metodologia Científica,Métodos e Software Numéricos,Métodos Estatísticos,Organização e Arquitetura de Computadores,Paradigmas de Linguagem de Programação,Probabilidade e Estatística,Programação I,Programação II,Projeto em Computação I,Redes de Computadores,Sistemas de Informação I,Sistemas de Informação II,Sistemas Operacionais,Teoria da Computação,Teoria dos Grafos,
109110076,NA,NA,NA,5.0,5.8,5.1,6.9,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,7.2,5.0,NA,9.5,NA,5.0,NA,NA,NA,NA,NA,NA,NA,6.5,6.0,NA,NA,NA,NA,NA,8.3,5.5,NA,5.0,1.2,NA,NA,
108210204,NA,NA,NA,NA,10.0,7.5,7.3,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,8.6,7.4,NA,8.8,NA,7.4,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,8.5,8.7,NA,NA,NA,NA,NA,
108110013,NA,NA,NA,NA,7.0,NA,7.2,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,8.1,7.5,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,7.0,NA,NA,
111210419,NA,NA,NA,NA,9.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,7.4,6.0,NA,NA,NA,6.0,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,
112110919,NA,NA,NA,NA,NA,NA,6.8,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
108110032,NA,NA,NA,NA,8.5,NA,8.3,NA,NA,7.8,9.8,NA,NA,NA,NA,NA,NA,7.9,8.4,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,9.2,8.3,NA,NA,8.3,NA,NA,
110110978,2.7,NA,NA,7.4,7.0,6.8,6.2,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,7.2,5.1,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,8.4,NA,NA,5.4,5.5,NA,NA,
107110434,NA,NA,NA,NA,5.0,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
107110437,NA,NA,NA,7.6,7.0,NA,6.5,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,8.8,7.6,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,
107210016,NA,NA,NA,NA,7.9,NA,7.8,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,8.1,NA,9.8,NA,8.1,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,7.0,NA,NA,
107210013,NA,NA,NA,NA,7.4,NA,5.3,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,7.6,5.0,NA,9.7,NA,5.0,NA,NA,NA,NA,NA,NA,NA,6.4,5.6,NA,NA,NA,NA,NA,8.3,7.6,NA,NA,NA,NA,NA,
107210010,NA,NA,NA,7.8,9.4,7.1,5.5,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,8.0,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,6.5,NA,NA,NA,NA,NA,8.5,8.3,NA,7.0,5.9,NA,NA,
108110020,NA,NA,NA,NA,8.7,NA,7.9,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,7.9,6.1,NA,9.8,NA,6.1,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,9.2,7.8,NA,NA,8.4,NA,NA,
108110009,NA,NA,NA,NA,7.6,NA,8.2,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,8.7,5.7,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,
108110004,NA,NA,NA,NA,7.0,NA,5.2,NA,NA,6.2,8.3,NA,NA,NA,NA,NA,NA,7.2,7.1,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,8.5,NA,NA,5.6,NA,NA,NA,
108110028,NA,NA,NA,NA,7.1,NA,NA,NA,NA,7.0,9.8,NA,NA,NA,NA,NA,9.5,8.1,8.5,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,
108110003,NA,NA,NA,NA,7.6,NA,7.6,NA,NA,7.2,9.8,NA,NA,NA,NA,NA,NA,9.0,8.2,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,8.2,8.5,NA,NA,8.3,NA,NA,
108110001,NA,NA,NA,NA,9.7,NA,5.9,NA,NA,7.3,8.8,NA,NA,NA,NA,NA,NA,7.5,7.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,8.5,7.3,NA,NA,7.6,NA,NA,
107110030,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,5.1,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,
110110093,NA,NA,NA,NA,7.3,NA,5.0,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,8.3,7.7,NA,9.8,NA,7.7,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,
111210662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,6.3,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,
111210404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,5.0,NA,NA,
107210226,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,7.7,NA,NA,
106210176,NA,NA,NA,NA,5.7,NA,6.1,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,5.5,NA,NA,NA,NA,NA,8.5,NA,NA,7.0,5.7,NA,NA,
108110025,NA,NA,NA,NA,7.3,NA,7.3,NA,NA,7.0,9.8,8.4,NA,NA,NA,NA,NA,8.8,7.0,NA,9.4,NA,7.0,NA,NA,NA,NA,NA,NA,NA,8.8,6.8,NA,NA,NA,NA,NA,8.7,7.2,NA,7.0,6.1,NA,NA,
108110023,NA,NA,NA,NA,NA,NA,7.5,NA,NA,7.0,9.8,NA,NA,NA,NA,NA,8.0,NA,7.0,NA,9.7,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,9.0,NA,NA,
110110123,NA,NA,NA,7.4,9.3,6.5,5.1,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,8.5,8.7,NA,7.4,NA,8.7,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,9.3,8.2,NA,5.7,6.5,NA,NA,
111110074,NA,NA,NA,7.0,8.8,NA,6.3,NA,NA,7.0,8.7,7.2,NA,NA,NA,NA,NA,6.2,5.4,NA,7.6,NA,5.4,NA,NA,NA,NA,NA,NA,NA,7.0,4.7,NA,NA,NA,NA,NA,9.3,7.1,NA,5.0,NA,NA,NA,
110110124,NA,NA,NA,7.9,9.4,NA,7.1,NA,NA,7.3,NA,9.0,NA,NA,8.5,NA,NA,8.3,7.6,NA,NA,NA,7.6,9.9,NA,NA,NA,NA,NA,NA,7.4,5.2,8.4,NA,5.0,NA,NA,9.3,8.2,NA,NA,7.2,NA,NA,
108210022,NA,NA,NA,7.9,7.4,8.9,7.9,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,7.7,5.8,NA,8.1,NA,5.8,NA,NA,NA,NA,NA,NA,NA,5.5,8.2,NA,NA,NA,NA,NA,8.5,6.2,NA,6.3,7.7,NA,NA,
108210202,NA,NA,NA,8.5,7.3,8.8,7.3,NA,NA,7.0,9.8,NA,NA,NA,NA,NA,NA,8.3,7.2,NA,8.2,NA,7.2,NA,NA,NA,NA,NA,NA,NA,7.0,8.1,NA,NA,NA,NA,NA,8.5,7.3,NA,6.4,NA,NA,NA,
108210334,NA,NA,NA,7.0,9.9,NA,6.1,NA,NA,7.0,9.8,8.0,NA,NA,NA,NA,NA,8.5,8.2,NA,9.4,NA,8.2,NA,NA,NA,NA,NA,NA,NA,8.8,5.6,NA,NA,NA,NA,NA,8.7,7.4,NA,7.0,5.9,NA,NA,
110110118,NA,NA,NA,7.2,7.0,6.9,3.7,NA,NA,6.7,NA,6.0,NA,NA,NA,NA,NA,6.5,7.0,NA,7.6,NA,7.0,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,9.3,6.5,NA,5.4,8.1,NA,NA,
107210030,NA,NA,NA,NA,7.0,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,8.5,6.2,NA,7.6,NA,6.2,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,
110110069,NA,NA,NA,5.2,7.0,NA,5.9,NA,NA,6.2,NA,7.3,NA,NA,NA,NA,NA,7.9,5.0,NA,8.2,NA,5.0,NA,NA,NA,NA,NA,NA,NA,6.8,7.7,NA,7.1,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,
108110604,NA,NA,NA,NA,8.7,NA,7.2,NA,NA,7.2,9.8,NA,NA,NA,NA,NA,NA,8.5,8.6,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,
107210001,NA,NA,NA,NA,6.1,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,
109110112,NA,NA,NA,7.8,7.2,7.5,5.6,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,7.9,5.1,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,5.4,5.9,NA,NA,NA,NA,NA,8.2,NA,NA,NA,6.0,NA,NA,
108210284,NA,NA,NA,NA,9.6,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,8.5,8.4,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0,NA,NA,8.4,NA,NA,NA,
105210141,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,7.7,5.0,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,
106110138,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,7.5,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,
111210057,NA,NA,NA,NA,NA,NA,5.8,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,8.1,5.0,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,
108110035,NA,NA,NA,NA,9.5,NA,8.9,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,9.3,8.6,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,10.0,NA,NA,NA,9.7,NA,NA,
110210045,NA,NA,NA,NA,7.0,NA,5.1,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,8.7,7.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,7.5,NA,NA,
108110010,NA,NA,NA,NA,8.4,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,7.5,7.2,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,9.0,7.2,NA,NA,NA,NA,NA,
108110502,NA,NA,NA,NA,9.6,NA,NA,NA,NA,9.0,9.8,NA,NA,NA,NA,NA,9.4,9.5,8.8,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,
108110501,NA,NA,NA,NA,7.5,NA,7.0,NA,NA,6.5,9.8,NA,NA,NA,NA,NA,NA,8.4,6.0,NA,NA,NA,6.0,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,
108110500,NA,NA,NA,NA,8.7,NA,6.5,NA,NA,7.2,9.8,NA,NA,NA,NA,NA,NA,9.0,7.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,7.0,NA,NA,
106210162,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,7.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,
107110003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,7.3,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,
106210166,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,8.3,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,8.7,NA,NA,
106210165,NA,NA,NA,NA,5.7,8.4,5.4,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,7.0,7.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,8.3,7.7,NA,7.0,NA,NA,NA,
106210598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,7.3,NA,NA,NA,NA,NA,
111110122,NA,NA,NA,NA,7.0,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,8.7,7.1,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,7.6,NA,NA,
106210158,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,7.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,8.5,7.3,NA,NA,7.0,NA,NA,
111110916,NA,NA,NA,NA,5.0,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,5.4,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,
107110436,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,
107210017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,
108110019,NA,NA,NA,NA,8.4,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,7.0,6.2,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,7.1,7.3,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,
107210015,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,
