"disciplina" "matricula" "competencia"
"Algebra Vetorial e Geometria Analitica" "110110852" "60"
"Algebra Vetorial e Geometria Analitica" "110210386" "100"
"Algebra Vetorial e Geometria Analitica" "110210615" "70"
"Algebra Vetorial e Geometria Analitica" "111110133" "10"
"Algebra Vetorial e Geometria Analitica" "111150427" "60"
"Algebra Vetorial e Geometria Analitica" "111210079" "40"
"Algebra Vetorial e Geometria Analitica" "111210390" "50"
"Algebra Vetorial e Geometria Analitica" "111210392" "90"
"Algebra Vetorial e Geometria Analitica" "111210397" "90"
"Algebra Vetorial e Geometria Analitica" "111210401" "30"
"Algebra Vetorial e Geometria Analitica" "111210430" "80"
"Algebra Vetorial e Geometria Analitica" "111210660" "70"
"Algebra Vetorial e Geometria Analitica" "111210787" "40"
"Algebra Vetorial e Geometria Analitica" "112110934" "60"
"Algebra Vetorial e Geometria Analitica" "112190042" "70"
"Algebra Vetorial e Geometria Analitica" "109210014" "30"
"Algebra Vetorial e Geometria Analitica" "110150169" "30"
"Algebra Vetorial e Geometria Analitica" "110210066" "70"
"Algebra Vetorial e Geometria Analitica" "110210117" "50"
"Algebra Vetorial e Geometria Analitica" "111110060" "0"
"Algebra Vetorial e Geometria Analitica" "111110064" "60"
"Algebra Vetorial e Geometria Analitica" "111110069" "60"
"Algebra Vetorial e Geometria Analitica" "111110071" "0"
"Algebra Vetorial e Geometria Analitica" "111110076" "0"
"Algebra Vetorial e Geometria Analitica" "111110080" "90"
"Algebra Vetorial e Geometria Analitica" "111110083" "0"
"Algebra Vetorial e Geometria Analitica" "111110090" "60"
"Algebra Vetorial e Geometria Analitica" "111110091" "60"
"Algebra Vetorial e Geometria Analitica" "111110092" "10"
"Algebra Vetorial e Geometria Analitica" "111110103" "20"
"Algebra Vetorial e Geometria Analitica" "111110114" "0"
"Algebra Vetorial e Geometria Analitica" "111110118" "30"
"Algebra Vetorial e Geometria Analitica" "111110121" "20"
"Algebra Vetorial e Geometria Analitica" "111110126" "10"
"Algebra Vetorial e Geometria Analitica" "111110127" "30"
"Algebra Vetorial e Geometria Analitica" "111110128" "10"
"Algebra Vetorial e Geometria Analitica" "111110134" "0"
"Algebra Vetorial e Geometria Analitica" "111110135" "80"
"Algebra Vetorial e Geometria Analitica" "111110898" "40"
"Algebra Vetorial e Geometria Analitica" "111110900" "50"
"Algebra Vetorial e Geometria Analitica" "111110905" "70"
"Algebra Vetorial e Geometria Analitica" "111110908" "30"
"Algebra Vetorial e Geometria Analitica" "111110911" "30"
"Algebra Vetorial e Geometria Analitica" "111110912" "20"
"Algebra Vetorial e Geometria Analitica" "111110922" "60"
"Algebra Vetorial e Geometria Analitica" "111110928" "50"
"Algebra Vetorial e Geometria Analitica" "111110929" "30"
"Algebra Vetorial e Geometria Analitica" "111110931" "40"
"Algebra Vetorial e Geometria Analitica" "111150283" "40"
"Algebra Vetorial e Geometria Analitica" "111150493" "30"
"Algebra Vetorial e Geometria Analitica" "111150551" "10"
"Algebra Vetorial e Geometria Analitica" "111210081" "10"
"Algebra Vetorial e Geometria Analitica" "111210393" "20"
"Algebra Vetorial e Geometria Analitica" "111210396" "30"
"Algebra Vetorial e Geometria Analitica" "111210417" "40"
"Algebra Vetorial e Geometria Analitica" "111210658" "30"
"Algebra Vetorial e Geometria Analitica" "111210659" "90"
"Algebra Vetorial e Geometria Analitica" "112110036" "0"
"Algebra Vetorial e Geometria Analitica" "112110050" "50"
"Algebra Vetorial e Geometria Analitica" "112110085" "40"
"Algebra Vetorial e Geometria Analitica" "112110096" "50"
