nota1,nota2,nota3:nota4,nota5,nota6,nota7,nota8,media,final,disciplina,departamento,matricula
8.0,7.0,7.0,8.0,8.0,8.0,-1.0,-1.0,7.9,-1.0,projeto em computacao i,dme,105210160
6.0,4.0,4.5,7.8,7.4,6.0,-1.0,-1.0,5.6,5.0,projeto em computacao ii,dme,105210160
8.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,sociologia industrial i,dme,105210160
10.0,6.1,9.1,10.0,-1.0,-1.0,-1.0,-1.0,8.8,-1.0,tec(principios de admin financeira),dme,105210160
1.0,6.0,7.0,8.0,-1.0,-1.0,-1.0,-1.0,6.5,8.0,tecc(economia de tecnologia da informaca,dme,105210160
8.5,8.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,5.0,tecc(modelagem de ambientes virtuais),dme,105210160
4.4,4.8,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.9,6.0,tecc(visao computacional),dme,105210160
0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,projeto em computacao ii,dme,106110120
0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,sistemas de informacaes geograficas,dme,106110120
6.0,7.0,9.3,-1.0,-1.0,-1.0,-1.0,-1.0,7.4,-1.0,projeto em computacao ii,dme,106110125
5.5,6.0,5.5,8.5,-1.0,-1.0,-1.0,-1.0,7.3,8.5,aval.de desempenho de sistemas discretos,dme,106110138
6.3,8.4,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.7,-1.0,inteligencia artificial i,dme,106110138
6.7,8.6,7.3,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,interconex?o de redes de computadores,dme,106110138
6.7,8.6,7.3,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,lab.de intercon.de redes de computadores,dme,106110138
9.5,8.5,8.5,9.0,9.0,9.0,-1.0,-1.0,9.1,-1.0,projeto em computacao i,dme,106110138
10.0,10.0,10.0,9.0,8.9,8.9,-1.0,-1.0,9.5,-1.0,projeto em computacao ii,dme,106110138
8.0,7.3,5.6,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,redes neurais,dme,106110138
9.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.2,6.0,tecc(sistemas de recup da informacao),dme,106110138
7.5,8.2,8.0,4.5,-1.0,-1.0,-1.0,-1.0,5.9,4.5,aval.de desempenho de sistemas discretos,dme,106110145
8.0,7.7,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.1,-1.0,inteligencia artificial i,dme,106110145
7.0,5.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.2,4.5,metodos estatisticos,dme,106110145
9.4,6.0,5.6,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,redes neurais,dme,106110145
4.0,7.0,7.5,8.0,-1.0,-1.0,-1.0,-1.0,7.2,8.0,tecc(economia de tecnologia da informaca,dme,106110145
7.5,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.1,9.0,tecc(sistemas de recup da informacao),dme,106110145
8.5,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,basquetebol - masc,dme,106210147
9.0,9.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.3,-1.0,empreendedorismo,dme,106210147
8.5,8.5,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,seminarios (educacao ambiental),dme,106210147
9.0,9.3,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,sistemas de informacaes geograficas,dme,106210147
8.0,8.7,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.4,-1.0,tecc(fund e aplic. de realidade virtual,dme,106210147
5.8,2.7,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.3,-1.0,aval.de desempenho de sistemas discretos,dme,106210151
7.0,7.5,6.7,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,aval.de desempenho de sistemas discretos,dme,106210151
3.8,7.3,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.6,8.0,compiladores,dme,106210151
6.3,8.2,8.1,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,inteligencia artificial i,dme,106210151
3.8,6.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.1,5.8,interconex?o de redes de computadores,dme,106210151
3.8,6.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.1,5.8,lab.de intercon.de redes de computadores,dme,106210151
8.1,4.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,metodos estatisticos,dme,106210151
8.0,8.0,8.5,8.5,8.0,8.5,-1.0,-1.0,8.3,-1.0,projeto em computacao i,dme,106210151
8.0,8.5,9.0,7.2,8.4,9.0,-1.0,-1.0,8.4,-1.0,projeto em computacao ii,dme,106210151
8.0,0.0,5.8,-1.0,-1.0,-1.0,-1.0,-1.0,5.8,7.5,redes de computadores,dme,106210151
9.0,7.5,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,relacoes humanas,dme,106210151
9.0,8.3,7.5,3.8,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,tec(principios de admin financeira),dme,106210151
4.0,7.0,7.5,8.0,-1.0,-1.0,-1.0,-1.0,7.2,8.0,tecc(economia de tecnologia da informaca,dme,106210151
-1.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.7,-1.0,tecc(fundamentos de prog concorrente),dme,106210151
