CODIGO,DISCIPLINA,PERMAISFREQ1ST,FREQRELATIVA1ST,PERMAISFREQ2ND,FREQRELATIVA2ND,PERMAISFREQ3RD,FREQRELATIVA3RD,TOTALDEALUNOSPORDISCIPLINA,TIPODEDISCIPLINA
1411282,TECC(ADMINISTRACAO DE SISTEMAS),7,0.227272727272727,3,0.136363636363636,4,0.136363636363636,22,OPT
1411286,TECC(METODOS E P T G M DADOS HISTORICOS),7,0.333333333333333,2,0.125,6,0.125,24,OPT
1107131,QUÍMICA,3,0.5,4,0.5,1,0,2,OPT
1107232,QUÍMICA GERAL,3,1,1,0,2,0,1,OPT
1109010,EQUACOES DIFERENCIAIS LINEARES,3,1,1,0,2,0,1,OPT
1109105,CALCULO DIFERENCIAL E INTEGRAL III,5,0.375,6,0.375,3,0.125,8,OPT
1113019,EXPRESSAO GRAFICA,3,1,1,0,2,0,2,OPT
1304012,VOLEIBOL - MASC/FEM,3,0.5,7,0.5,1,0,2,OPT
1411261,TECC (REDAÇÃO TÉCNICO-CIENTÍFICA),9,0.2,10,0.2,6,0.16,25,OPT
1411270,TECC (PROGRAMAÇÃO III),7,0.230769230769231,5,0.153846153846154,9,0.153846153846154,26,OPT
1411274,TECC(MET CIENT P/ PESQ EM C. DA COMPUT),8,0.269230769230769,6,0.153846153846154,7,0.153846153846154,26,OPT
1411287,TECC(M E E DE P DE T EM G M DE D HIST II,8,0.454545454545455,3,0.181818181818182,4,0.0909090909090909,11,OPT
1108030,FÍSICA GERAL I,4,1,1,0,2,0,1,OPT
1109106,EQUACOES DIFERENCIAIS,5,0.428571428571429,9,0.285714285714286,4,0.142857142857143,7,OPT
1404132,INTRODUCAO A ENGENHARIA ELETRICA,4,1,1,0,2,0,1,OPT
1411212,ORGAN. E ARQUITETURA DE COMPUTADORES II,8,0.333333333333333,6,0.222222222222222,7,0.222222222222222,9,OPT
1411251,TECC(ALGORITMOS  AVANÇADOS IV),6,0.3125,4,0.291666666666667,7,0.125,48,OPT
1411262,TECC (ARQUITETURA DE SIST. EMBUTIDOS),7,0.3,8,0.3,4,0.1,20,OPT
1411267,TECC(SISTEMAS DE RECUP DA INFORMAÇÃO),7,0.388888888888889,9,0.166666666666667,8,0.111111111111111,36,OPT
1411275,TECC(SISTEMAS COOPERATIVOS),8,0.25,6,0.15,7,0.15,20,OPT
1107225,TE (INTRODUÇÃO À ENGENHARIA DO PETRÓLEO),5,0.5,6,0.25,8,0.25,4,OPT
1107233,TE (TECNOLOGIA DE GAS NATURAL),5,0.5,7,0.25,8,0.25,4,OPT
1304123,FUTSAL - FEM,7,0.666666666666667,5,0.333333333333333,1,0,3,OPT
1411209,INTERFACE HOMEM-MÁQUINA,7,0.363636363636364,9,0.363636363636364,5,0.0909090909090909,11,OPT
1411257,TECC (INTRODUÇÃO À MECÂNICA QUÂNTICA),5,0.6,6,0.2,8,0.2,5,OPT
1411276,TECC(VISAO COMPUTACIONAL),8,0.388888888888889,10,0.111111111111111,11,0.111111111111111,36,OPT
1503121,INTRODUCAO A ARQUITETURA,5,1,1,0,2,0,1,OPT
1107224,TE(INTRODUÇÃO A ENG DE RESERVATORIOS),6,0.428571428571429,7,0.142857142857143,8,0.142857142857143,7,OPT
1107227,TE (ENGENHARIA DE POÇO),6,0.444444444444444,7,0.333333333333333,8,0.111111111111111,9,OPT
1411198,ADM.DE SIST.GERENC.DE BANCO DE DADOS,9,0.352112676056338,7,0.197183098591549,8,0.183098591549296,71,OPT
1411224,SISTEMAS MULTIMÍDIA,7,0.266666666666667,6,0.2,9,0.2,15,OPT
1411255,TECC(LAB DE SISTEMAS OPERACIONAIS),7,0.444444444444444,8,0.222222222222222,6,0.111111111111111,9,OPT
1502046,INT A ENGENHARIA AGRICOLA,6,1,1,0,2,0,1,OPT
1502178,QUÍMICA ANALÍTICA,6,1,1,0,2,0,1,OPT
1502183,METODOLOGIA E TÉCNICAS DE PESQUISA,6,1,1,0,2,0,1,OPT
1107197,TEEQ (ZEOLITAS),7,1,1,0,2,0,1,OPT
1411208,INTELIGÊNCIA ARTIFICIAL II,7,0.5,9,0.5,1,0,2,OPT
1411216,PROGRAMAÇÃO FUNCIONAL,8,0.75,7,0.25,1,0,4,OPT
1411252,TE (R. NEURAIS APL. À IND. DO PETRÓLEO),8,0.666666666666667,7,0.333333333333333,1,0,3,OPT
