"CODIGO","DISCIPLINA","DEPARTAMENTO","TIPODEDISCIPLINA","SITUACAO","RESULTADORELATIVO"
1307151,"LEITURA E PRODUCAO DE TEXTOS","UNID. ACAD. DE LETRAS","OBG",111,0.112462006079027
1411207,"INFORMÁTICA NA EDUCAÇÃO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",1,0.125
1411209,"INTERFACE HOMEM-MÁQUINA","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",1,0.125
1411263,"TECC(ALGORITMOS AVANÇADOS VI)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",2,0.125
1411194,"BANCO DE DADOS II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",63,0.12625250501002
1411169,"PARADIGMAS DE LING. DE PROGRAMAÇÃO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",73,0.128747795414462
1301014,"ADMINISTRAÇÃO","UNID. ACAD. DE ADMINISTRAÇÃO E CONTABILIDADE","OPT",48,0.129032258064516
1411210,"MARKETING PARA INFORMÁTICA","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",17,0.130769230769231
1411247,"TECC(ALGORITMOS AVANÇADOS II)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",5,0.131578947368421
1411258,"TECC(ALGORITMOS AVANÇADOS V)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",4,0.142857142857143
1411182,"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",80,0.143884892086331
1411189,"COMPILADORES","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",72,0.144
1411195,"SISTEMAS DE INFORMAÇÃO II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",82,0.144620811287478
1301078,"GESTAO DA QUALIDADE","UNID. ACAD. DE ADMINISTRAÇÃO E CONTABILIDADE","OPT",8,0.150943396226415
1411283,"TECC(FUNDAMENTOS DE PROG CONCORRENTE)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",7,0.152173913043478
1304025,"BASQUETEBOL - FEM","UNID. ACAD. DE EDUCAÇÃO","OPT",2,0.153846153846154
1411173,"LÓGICA MATEMÁTICA","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",89,0.154513888888889
1304013,"BASQUETEBOL - MASC","UNID. ACAD. DE EDUCAÇÃO","OPT",7,0.162790697674419
1107224,"TE(INTRODUÇÃO A ENG DE RESERVATORIOS)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT",1,0.166666666666667
1301061,"PROCESSO DECISORIO","UNID. ACAD. DE ADMINISTRAÇÃO E CONTABILIDADE","OPT",2,0.166666666666667
1304059,"FUTEBOL DE CAMPO","UNID. ACAD. DE EDUCAÇÃO","OPT",2,0.166666666666667
1411193,"BANCO DE DADOS I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",103,0.173109243697479
1411176,"GERÊNCIA DA INFORMAÇÃO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",144,0.175182481751825
1411170,"TEORIA DOS GRAFOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",162,0.182022471910112
1305033,"SOCIOLOGIA INDUSTRIAL I","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OPT",53,0.18213058419244
1305218,"METODOLOGIA CIENTÍFICA","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OBG",88,0.186046511627907
1411174,"INTRODUÇÃO A COMPUTAÇÃO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",216,0.191319751992914
1411179,"LAB.DE ESTRUTURA DE DADOS E ALGORITMOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",154,0.194444444444444
1411279,"TECC(ESTAGIO INTEGRADO II)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",1,0.2
1303021,"ECONOMIA","UNID. ACAD. DE ECONOMIA E FINANCAS","OPT",83,0.222520107238606
1411187,"ANÁLISE E TÉCNICA DE ALGORITMOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",149,0.238019169329073
